Chapter 15: Machinery and Large-Scale Industry 1.	DREIZEHNTES KAPITEL.	ch15_clean.en-ch15_clean.de
Hence, when in 1844 the reduction of the working day to less than twelve hours was being debated, the manufacturers declared almost unanimously ‘that their over lookers in the different rooms took good care that the hands lost no time’, that ‘the extent of vigilance and attention on the part of the workmen was hardly capable of being increased’, and therefore, assuming the speed of the machinery and other conditions remained constant, ‘to expect in a well-managed factory any important result from increased attention of the workmen was an absurdity’.	Als daher 1844 die Herabsetzung des Arbeitstags unter 12 Stunden verhandelt ward, erklärten die Fabrikanten fast einstimmig, "ihre Aufseher paßten in den verschiednen Arbeitsräumen auf, daß die Hände keine Zeit verlören", "der Grad der Wachsamkeit und Aufmerksamkeit auf seiten der Arbeiter (the extent of vigilance and attention on the part of the workmen) sei kaum steigrungsfähig", und alle andren Umstände, wie Gang der Maschinerie usw. als gleichbleibend vorausgesetzt, "sei es daher Unsinn, in wohlgeführten Fabriken von der gesteigerten Aufmerksamkeit usw. der Arbeiter irgendein erkleckliches Resultat zu erwarten".	ch15_clean.en-ch15_clean.de
This assertion was controverted by means of experiments.	Diese Behauptung ward durch Experimente widerlegt.	ch15_clean.en-ch15_clean.de
Mr Robert Gardner reduced the hours of work in his two large factories at Preston, on and after 20 April 1844, from 12 to 11 hours a day.	Herr R. Gardner ließ in seinen zwei großen Fabriken zu Preston vom 20. April 1844 anstatt 12 nur noch 11 Stunden per Tag arbeiten.	ch15_clean.en-ch15_clean.de
The result of about a year on this system was that ‘the same amount of product for the same cost was received, and the workpeople as a whole earned in 11 hours as much wages as they did before in 12’.	Nach ungefähr Jahresfrist ergab sich das Resultat, daß "dasselbe Quantum Produkt zu denselben Kosten erhalten ward, und sämtliche Arbeiter in 11 Stunden ebensoviel Arbeitslohn verdienten, wie früher in 12".	ch15_clean.en-ch15_clean.de
I shall pass over the experiments made in the spinning and carding rooms, because they were accompanied by an increase of 2 per cent in the speed of the machines.	Ich übergehe hier die Experimente in den Spinn- und Kardierräumen, weil sie mit Zunahme in der Geschwindigkeit der Maschinerie (um 2%) verbunden waren.	ch15_clean.en-ch15_clean.de
But in the weaving department, where moreover many sorts of figured fancy articles were woven, there was not the slightest alteration in the objective conditions of production.	In dem Webedepartement dagegen, wo zudem sehr verschiedne Sorten leichter, figurenhaltiger Phantasieartikel gewebt wurden, fand durchaus keine Änderung in den objektiven Produktionsbedingungen statt.	ch15_clean.en-ch15_clean.de
The result was: ‘From 6th January to 20th April 1844, with a 12 hours’ day, average weekly wages of each hand 10s. l 1/2d., from 20th April to 29th June 1844, with a day of 11 hours, average weekly wages 10s.	Das Resultat war: "Vom 6. Januar bis 20. April 1844, mit zwölfstündigem Arbeitstag, wöchentlicher Durchschnittslohn jedes Arbeiters 10 sh. 1 1/2 d., vom 20. April bis 29. Juni 1844, mit elfstündigem Arbeitstag, wöchentlicher Durchschnittslohn 10 sh.	ch15_clean.en-ch15_clean.de
1/2d.’	3 1/2 d."	ch15_clean.en-ch15_clean.de
Here we have more produced in 11 hours than previously in 12, entirely as a result of steather application to the work and a more economical use of time on the part of the workers.	Es wurde hier in 11 Stunden mehr produziert als früher in 12, ausschließlich infolge größrer gleichmäßiger Ausdauer der Arbeiter und Ökonomie ihrer Zeit.	ch15_clean.en-ch15_clean.de
While they got the same wages and gained one hour of spare time, the capitalist got the same amount produced and saved the cost of coal, gas and other such items for one hour.	Während sie denselben Lohn empfingen und 1 Stunde freie Zeit gewannen, erhielt der Kapitalist dieselbe Produktenmasse und sparte Verausgabung von Kohle, Gas usw. für eine Stunde.	ch15_clean.en-ch15_clean.de
Similar equally successful experiments were carried out in the mills of Messrs Horrocks and Jacson.	Ähnliche Experimente wurden mit gleichem Erfolg in den Fabriken der Herren Horrocks und Jacson ausgeführt.	ch15_clean.en-ch15_clean.de
The shortening of the working day creates, to begin with, the subjective condition for the condensation of labour, i.e. it makes it possible for the worker to set more labour-power in motion within a given time. As soon as that shortening becomes compulsory, machinery becomes in the hands of capital the objective means, systematically employed, for squeezing out more labour in a given time.	Sobald die Verkürzung des Arbeitstags, welche zunächst die subjektive Bedingung der Kondensation der Arbeit schafft, nämlich die Fähigkeit des Arbeiters, mehr Kraft in gegebner Zeit flüssig zu machen, zwangsgesetzlich wird, wird die Maschine in der Hand des Kapitals zum objektiven und systematisch angewandten Mittel, mehr Arbeit in derselben Zeit zu erpressen.	ch15_clean.en-ch15_clean.de
This occurs in two ways: the speed of the machines is increased, and the same worker receives a greater quantity of machinery to supervise or operate.	Es geschieht dies in doppelter Weise: durch erhöhte Geschwindigkeit der Maschinen und erweiterten Umfang der von demselben Arbeiter zu überwachenden Maschinerie oder seines Arbeitsfeldes.	ch15_clean.en-ch15_clean.de
Improved construction of the machinery is necessary, partly to allow greater pressure to be put on the worker, partly because it is an inevitable concomitant of intensification of labour, since the legal limitation of the working day compels the capitalist to exercise the strictest economy in the cost of production.	Verbesserte Konstruktion der Maschinerie ist teils notwendig zur Ausübung des größren Drucks auf den Arbeiter, teils begleitet sie von selbst die Intensifikation der Arbeit, weil die Schranke des Arbeitstags den Kapitalisten zu strengstem Haushalt der Produktionskosten zwingt.	ch15_clean.en-ch15_clean.de
The improvements in the steam-engine have increased the piston speed and at the same time have made it possible, by means of a greater economy of power, to drive more machinery with the same engine, while consuming the same amount of coal, or even a smaller amount.	Die Verbesserung der Dampfmaschine erhöht die Anzahl ihrer Kolbenschläge in einer Minute und erlaubt zugleich, durch größere Kraftersparung einen umfangreichren Mechanismus mit demselben Motor zu treiben, bei gleichbleibendem oder selbst fallendem Kohlenverzehr.	ch15_clean.en-ch15_clean.de
The improvements in the transmitting mechanism have lessened friction and reduced the diameter and weight of the shafts to a constantly decreasing minimum, something which strikingly distinguishes modern machinery from the older type.	Die Verbesserung des Transmissionsmechanismus vermindert die Reibung und, was die moderne Maschinerie so augenfällig vor der ältren auszeichnet, reduziert Durchmesser und Gewicht der großen und kleinen Wellenbäume auf ein stets fallendes Minimum.	ch15_clean.en-ch15_clean.de
Finally, the improvements in the operative machines have, while reducing their size, increased their speed and efficiency, as in the modern power-loom; or, while increasing the size of their frames, they have also increased the extent and number of their working parts, as in spinning-mules, or added to the speed of those working parts by imperceptible alterations of detail, such as those which ten years ago increased the speed of the spindles in self-acting mules by one-fifth.	Die Verbesserungen der Arbeitsmaschinerie endlich vermindern bei erhöhter Geschwindigkeit und ausgedehnterer Wirkung ihren Umfang, wie beim modernen Dampfwebstuhl, oder vergrößern mit dem Rumpf Umfang und Zahl der von ihr geführten Werkzeuge, wie bei der Spinnmaschine, oder vermehren die Beweglichkeit dieser Werkzeuge durch unscheinbare Detailveränderungen, wie derartig bei der selfacting mule in der Mitte der fünfziger Jahre die Geschwindigkeit der Spindeln um 1/5 gesteigert wurde.	ch15_clean.en-ch15_clean.de
The reduction of the working day to 12 hours dates in England from 1832.	Die Verkürzung des Arbeitstags auf 12 Stunden datiert in England von 1832.	ch15_clean.en-ch15_clean.de
In 1836 a manufacturer stated: ‘The labour now undergone in the factories is much greater than it used to be… compared with thirty or forty years ago… owing to the greater attention and activity required by the greatly increased speed which is given to the machinery.’	Schon 1836 erklärte ein englischer Fabrikant: "Verglichen mit früher ist die Arbeit, die in den Fabriken zu verrichten, sehr gewachsen, infolge der größren Aufmerksamkeit und Tätigkeit, welche die bedeutend vermehrte Geschwindigkeit der Maschinerie vom Arbeiter erheischt."	ch15_clean.en-ch15_clean.de
In the year 1844, Lord Ashley, now Lord Shaftesbury, made in the House of Commons the following statements, which were supported by documentary evidence: ‘The labour performed by those engaged in the processes of manufacture, is three times as great as in the beginning of such operations.	Im Jahr 1844 machte Lord Ashley, jetzt Graf Shaftesbury, folgende dokumentarisch belegte Aufstellungen im Hause der Gemeinen: "Die Arbeit der in den Fabrikprozessen Beschäftigten ist jetzt dreimal so groß, als bei der Einführung solcher Operationen.	ch15_clean.en-ch15_clean.de
Machinery has executed, no doubt, the work that would demand the sinews of millions of men; but it has also prodigiously multiplied the labour of those who are governed by its fearful movements… In 1815, the labour of following a pair of mules spinning cotton of No. – reckoning 12 hours to the working day – involved a necessity of walking 8 miles.	Die Maschinerie hat zweifelsohne ein Werk verrichtet, welches die Sehnen und Muskeln von Millionen Menschen ersetzt, aber sie hat auch erstaunlich (prodigiously) die Arbeit der durch ihre furchtbare Bewegung beherrschten Menschen vermehrt ...	ch15_clean.en-ch15_clean.de
In 1832, the distance travelled in following a pair of mules, spinning cotton yarn of the same number, was 20 miles, and frequently more.	Die Arbeit, einem Paar Mules während 12 Stunden auf und ab zu folgen, zum Spinnen von Garn Nr. 40, schloß im Jahre 1815 das Durchlaufen einer Distanz von 8 Meilen ein.	ch15_clean.en-ch15_clean.de
In 1825 the spinner put up daily, on each of these mules, 208 stretches, making a total of 1, stretches in the course of the day.	Im Jahre 1832 betrug die im Gefolge eines Mulepaars, zum Spinnen derselben Nummer, während 12 Stunden zu durchreisende Distanz 20 Meilen und oft mehr.	ch15_clean.en-ch15_clean.de
In 1832, the spinner put up on each mule 2, stretches, making a total of 4,400.	Im Jahre 1825 hatte der Spinner während 12 Stunden 820 Auszüge an jeder Mule zu machen, was eine Gesamtsumme von 1.640 für 12 Stunden ergab.	ch15_clean.en-ch15_clean.de
In 1844, 2, stretches, making a total of 4,800; and in some cases the amount of labour required is even still greater… I have another document sent to me in 1842, stating that the labour is progressively increasing – increasing not only because the distance to be travelled is greater, but because the quantity of goods produced is multiplied, while the hands are fewer in proportion than before; and, moreover, because an inferior species of cotton is now often spun, which it is more difficult to work… In the carding-room there has also been a great increase of labour.	Im Jahre 1832 hatte der Spinner während seines zwölfstündigen Arbeitstags an jeder Mule 2.200 Auszüge zu machen, zusammen 4.400, im Jahre 1844 an jeder Mule 2.400, zusammen 4.800: und in einigen Fällen ist die erheischte Arbeits- masse (amount of labour) noch größer ... Ich habe hier ein andres Dokument von 1842 in der Hand, worin nachgewiesen wird, daß die Arbeit progressiv zunimmt, nicht nur, weil eine größre Entfernung zu durchreisen ist, sondern weil die Quantität der produzierten Waren sich vermehrt, während die Händezahl proportionell abnimmt; und ferner, weil nun oft schlechtere Baumwolle gesponnen wird, die mehr Arbeit erfordert ...	ch15_clean.en-ch15_clean.de
One person there does the work formerly divided between two.	Im Kardierraum hat auch große Zunahme der Arbeit stattgefunden.	ch15_clean.en-ch15_clean.de
	Eine Person tut jetzt die Arbeit, die früher zwischen zwei verteilt war ...	ch15_clean.en-ch15_clean.de
In the weaving-room, where a vast number of persons are employed, and principally females… the labour has increased within the last few years fully 10 per cent, owing to the increased speed of the machinery in spinning.	In der Weberei, worin eine große Anzahl Personen, meist weiblichen Geschlechts, beschäftigt ist, ist die Arbeit während der letzten Jahre um volle 10% gewachsen, infolge der vermehrten Geschwindigkeit der Maschinerie.	ch15_clean.en-ch15_clean.de
In 1838, the number of hanks spun per week was 18,000, in 1843 it amounted to 21,000.	Im Jahre 1838 war die Zahl der hanks <Docken>, die wöchentlich gesponnen wurde, 18.000, im Jahre 1843 belief sie sich auf 21.000.	ch15_clean.en-ch15_clean.de
In 1819, the number of picks in power-loom weaving per minute was 60 – in 1842 it was 140, showing a vast increase of labour.’	Im Jahr 1819 war die Zahl der picks <Schußschläge> beim Dampfwebestuhl 60 per Minute, im Jahre 1842 betrug sie 140, was einen großen Zuwachs von Arbeit anzeigt."	ch15_clean.en-ch15_clean.de
In the face of this remarkable level of intensity, which labour had already reached in 1844 under the Twelve Hours’ Act, there appeared to be a justification for the assertion made at that time by the English manufacturers that any further progress in that direction was impossible, and therefore that any further reduction in the hours of labour would necessarily bring with it a drop in production.	Angesichts dieser merkwürdigen Intensität, welche die Arbeit unter der Herrschaft des Zwölfstundengesetzes bereits 1844 erreicht hatte, schien damals die Erklärung der englischen Fabrikanten berechtigt, jeder weitere Fortschritt in dieser Richtung sei unmöglich, daher jede weitere Abnahme der Arbeitszeit identisch mit Abnahme der Produktion.	ch15_clean.en-ch15_clean.de
The apparent correctness of their reasoning will best be shown by the following contemporary statement by Leonard Horner, the factory inspector and tireless censor of the manufacturers. ‘Now, as the quantity produced must, in the main, be regulated by the speed of the machinery, it must be the interest of the mill-owner to drive it at the utmost rate of speed consistent with these following conditions, viz., the preservation of the machinery from too rapid deterioration; the preservation of the quality of the article manufactured; and the capability of the workman to follow the motion without a greater exertion than he can sustain for a constancy.	Die scheinbare Richtigkeit ihres Räsonnements wird am besten bewiesen durch folgende gleichzeitige Äußerung ihres rastlosen Zensors, des Fabrikinspektors Leonard Horner: "Da die produzierte Quantität hauptsächlich geregelt wird durch die Geschwindigkeit der Maschinerie, muß es das Interesse des Fabrikanten sein, sie mit dem äußersten Geschwindigkeitsgrad zu treiben, der mit folgenden Bedingungen vereinbar ist: Bewahrung der Maschinerie vor zu raschem Verderb, Erhaltung der Qualität des fabrizierten Artikels, und Fähigkeit des Arbeiters, der Bewegung zu folgen ohne größre Anstrengung, als er kontinuierlich leisten kann.	ch15_clean.en-ch15_clean.de
One of the most important problems, therefore, which the owner of a factory has to solve, is to find out the maximum speed at which he can run, with a due regard to the above conditions.	Es ereignet sich oft, daß der Fabrikant in seiner Hast die Bewegung zu sehr beschleunigt.	ch15_clean.en-ch15_clean.de
It frequently happens that he finds he has gone too fast, that breakages and bad work more than counterbalance the increased speed, and that he is obliged to slacken his pace.	Brüche und schlechtes Machwerk wiegen dann die Geschwindigkeit mehr als auf, und er ist gezwungen, den Gang der Maschinerie zu mäßigen.	ch15_clean.en-ch15_clean.de
I therefore concluded, that as an active and intelligent mill-owner would find out the safe maximum, it would not be possible to produce as much in 11 hours as in 12. I further assumed that the operative paid by piece-work, would exert himself to the utmost consistent with the power of continuing at the same rate.’	Da ein aktiver und einsichtsvoller Fabrikant das erreichbare Maximum ausfindet, schloß ich, daß es unmöglich ist, in 11 Stunden so viel zu produzieren als in 12. Ich nahm außerdem an, daß der per Stücklohn bezahlte Arbeiter sich aufs äußerste anstrengt, soweit er denselben Arbeitsgrad kontinuierlich aushalten kann."	ch15_clean.en-ch15_clean.de
Horner therefore came to the conclusion, despite the experiments of Gardner and others, that a further reduction of the working day below 12 hours would necessarily diminish the quantity of the product.	Horner schloß daher, trotz der Experimente von Gardner usw., daß eine weitre Herabsetzung des Arbeitstages unter 12 Stunden die Quantität des Produkts vermindern müsse.	ch15_clean.en-ch15_clean.de
He himself cited his opinion of 1845 ten years later in order to show how much at that time he still under-estimated the elasticity of machinery and of human labour-power, both of which are simultaneously stretched to their utmost by the compulsory shortening of the working day.	Er selbst zitiert 10 Jahre später sein Bedenken von 1845 zum Beweis, wie wenig er damals noch die Elastizität der Maschinerie und der menschlichen Arbeitskraft begriff, die beide gleichmäßig durch die zwangsweise Verkürzung des Arbeitstags aufs höchste gespannt werden.	ch15_clean.en-ch15_clean.de
We now come to the period following the introduction of the Ten Hours’ Act in 1847 into the English cotton, woollen, silk and flax mills.	Kommen wir nun zur Periode nach 1847, seit Einführung des Zehnstundengesetzes in die englischen Baumwoll-, Woll-, Seiden- und Flachsfabriken.	ch15_clean.en-ch15_clean.de
‘The speed of the spindles has increased upon throstles 500, and upon mules 1, revolutions a minute, i.e. the speed of the throstle spindle, which in 1839 was 4, times a minute, is now’ (1862) ‘5,000; and of the mule spindle, that was 5,000, is now 6, times a minute, amounting in the former case to one-tenth; and in the second case to one-fifth additional increase.’	"Die Geschwindigkeit der Spindeln ist auf Throstles um 500, auf Mules um 1.000 Drehungen in einer Minute gewachsen, d.h. die Geschwindigkeit der Throstlespindel, die 1839 4.500 Drehungen in einer Minute zählte, beträgt nun" "5.000, und die der Mulespindel, die 5.000 zählte, beträgt jetzt 6.000 in der Minute; dies beläuft sich im ersten Fall auf 1/10 und im zweiten auf 1/6 <1.-4. Auflage: 1/5>zusätzlicher Geschwindigkeit."	ch15_clean.en-ch15_clean.de
James Nasmyth, the eminent civil engineer of Patricroft, near Manchester, explained in a letter to Leonard Homer, written in 1852, the nature of the improvements in the steam-engine made between the years 1848 and 1852.	Jas. Nasmyth, der berühmte Zivilingenieur von Patricroft, bei Manchester, setzte 1852 in einem Brief an Leonard Horner die von 1848-1852 gemachten Verbesserungen in der Dampfmaschine auseinander.	ch15_clean.en-ch15_clean.de
After remarking that the horse-power of steam-engines, being always estimated in the official returns according to the power of similar engines in 1828, is only nominal, and can serve only as an index of their real power, he goes on to say: ‘I am confident that from the same weight of steam-engine machinery, we are now obtaining at least 50 per cent more duty or work performed on the average, and that in many cases the identical steam-engines which in the days of the restricted speed of 220 feet per minute, yielded 50 horse-power, are now yielding upwards of 100… The modern steam-engine of 100 horse-power is capable of being driven at a much greater force than formerly, arising from improvements in its construction, the capacity and construction of the boilers, etc….	Nachdem er bemerkt, daß die Dampfpferdekraft, in der offiziellen Fabrikstatistik fortwährend geschätzt nach ihrer Wirkung im Jahr 1828 , nur noch nominell ist und nur als Index der wirklichen Kraft dienen kann, sagt er u.a.: "Es unterliegt keinem Zweifel, daß Dampfmaschinerie von demselben Gewicht, oft dieselben identischen Maschinen, an denen nur die modernen Verbeßrungen angebracht sind, im Durchschnitt 50% mehr Werk als früher verrichten und daß in vielen Fällen dieselben identischen Dampfmaschinen, die in den Tagen der beschränkten Geschwindigkeit von 220 Fuß per Minute 50 Pferdekraft lieferten, heute, mit vermindertem Kohlenkonsum, über 100 liefern ...	ch15_clean.en-ch15_clean.de
Although the same number of hands are employed in proportion to the horse-power as at former periods, there are fewer hands employed in proportion to the machinery.’	Die moderne Dampfmaschine von derselben nominellen Pferdekraft wird mit größrer Gewalt als früher getrieben, infolge der Verbeßrungen in ihrer Konstruktion, vermindertem Umfang und Bau der Dampf- kessel usw. ...	ch15_clean.en-ch15_clean.de
	Obgleich daher dieselbe Händezahl wie früher im Verhältnis zur nominellen Pferdekraft beschäftigt wird, werden weniger Hände verwand im Verhältnis zur Arbeitsmaschinerie."	ch15_clean.en-ch15_clean.de
In the year 1850, the factories of the United Kingdom employed 134, nominal horse-power to move 25,638, spindles and 301, looms.	Im Jahre 1850 verwandten die Fabriken des Vereinigten Königreichs 134.217 nominelle Pferdekraft zur Bewegung von 25.638.716 Spindeln und 301.445 Webstühlen.	ch15_clean.en-ch15_clean.de
The number of spindles and looms in 1856 was, respectively, 33,503, and 369,205, which, if we reckon the nominal horse-power required to move them to be the same as in 1850, would call for a total horse-power of 175,000.	Im Jahr 1856 betrug die Zahl der Spindeln und Webstühle respektive 33.503.580 und 369.205. Wäre die erheischte Pferdekraft dieselbe geblieben wie 1850, so waren 1856: 175.000 Pferdekraft nötig.	ch15_clean.en-ch15_clean.de
But according to the official return for 1856 the actual horse-power was 161,435, in other words over 10, horse-power less than the result arrived at by calculating on the basis of the return of 1850.	Sie betrug aber nach dem offiziellen Ausweis nur 161.435, also über 10.000 Pferdekraft weniger, als wenn man nach der Basis von 1850 rechnet.	ch15_clean.en-ch15_clean.de
‘The facts thus brought out by the Return’ (of 1856) ‘appear to be that the factory system is increasing rapidly; that although the same number of hands are employed in proportion to the horse-power as at former periods, there are fewer hands employed in proportion to the machinery; that the steam-engine is enabled to drive an increased weight of machinery by economy of force and other methods, and that an increased quantity of work can be turned off by improvements in machinery, and in methods of manufacture, by increase of speed of the machinery, and by a variety of other causes.’	"Die durch den letzten Return von 1856" (offizielle Statistik) "festgestellten Tatsachen sind, daß das Fabriksystem reißend rasch um sich greift, die Zahl der Hände im Verhältnis zur Maschinerie abgenommen hat, die Dampfmaschine durch Ökonomie der Kraft und andre Methoden ein größres Maschinengewicht treibt und ein vermehrtes Quantum Machwerk erzielt wird infolge verbesserter Arbeitsmaschinen, veränderter Methoden der Fabrikation, erhöhter Geschwindigkeit der Maschinerie und vieler andrer Ursachen."	ch15_clean.en-ch15_clean.de
‘The great improvements made in machines of every kind have raised their productive power very much.	"Die großen in Maschinen jeder Art eingeführten Verbeßrungen haben deren Produktivkraft sehr gesteigert.	ch15_clean.en-ch15_clean.de
Without any doubt, the shortening of the hours of labour… gave the impulse to these improvements.	Ohne allen Zweifel gab die Verkürzung des Arbeitstags ... den Stachel zu diesen Verbeßrungen.	ch15_clean.en-ch15_clean.de
The latter, combined with the more intense strain on the workman, have had the effect that at least as much is produced in the shortened working day’ (shortened by two hours or one-sixth) ‘as was previously produced during the longer one.’	Letztre und die intensivre Anstrengung des Arbeiters bewirkten, daß wenigstens ebensoviel Machwerk in dem" (um zwei Stunden oder 1/6) "verkürzten Arbeitstag als früher während des längren geliefert wird."	ch15_clean.en-ch15_clean.de
One fact is sufficient to show how greatly the wealth of the manufacturers increased along with the more intensive exploitation of labour-power.	Wie die Bereicherung der Fabrikanten mit der intensivren Ausbeutung der Arbeitskraft zunahm, beweist schon der eine Umstand, daß das durchschnittliche Wachstum der englischen Baumwollen- usw. -Fabriken von 1838 bis 1850 pro Jahr 32, von 1850 bis 1856 dagegen 86 jährlich betrug.	ch15_clean.en-ch15_clean.de
From 1838 to 1850 the average annual increase in English cotton and other factories was 32, from 1850 to 1856 it was 86. * But however great the progress of English industry had been during the eight years from 1848 to 1856 under the influence of a working day of 10 hours, it was far surpassed during the next period of six years from 1856 to 1862.	So groß in den 8 Jahren 1848 bis 1856, unter der Herrschaft des zehnstündigen Arbeitstags, der Fortschritt der englischen Industrie, wurde er wieder weit überflügelt in der folgenden sechsjährigen Periode von 1856 bis 1862.	ch15_clean.en-ch15_clean.de
In silk factories, for instance, there were 1,093, spindles in 1856, 1,388, spindles in 1862; 9, looms in 1856, 10, looms in 1862.	In der Seidenfabrik z.B. 1856: Spindeln 1.093.799, 1862: 1.388.544; 1856: Webstühle 9.260 und 1862: 10.709.	ch15_clean.en-ch15_clean.de
The number of workers, however, was 56, in 1856 and 52, in 1862.	Dagegen 1856: Arbeiteranzahl 56.137 und 1862: 52.429.	ch15_clean.en-ch15_clean.de
The increase in spindles was therefore 26. per cent, and in looms 15. per cent, while the number of workers decreased by 7 per cent.	Dies ergibt Zunahme der Spindelzahl 26,9% und der Webstühle 15,6% mit gleichzeitiger Abnahme der Arbeiteranzahl um 7%.	ch15_clean.en-ch15_clean.de
In the year 1850, 875, spindles were used in worsted mills; in 1856 the figure was 1,324, (an increase of 51. per cent); and in 1862 it was 1,289, (a decrease of 2. per cent).	Im Jahre 1850 wurden in der Worsted-Fabrik angewandt 875.830 Spindeln, 1856: 1.324.549 (Zunahme von 51,2%) und 1862: 1.289.172 (Abnahme von 2,7%).	ch15_clean.en-ch15_clean.de
But if we deduct the doubling spindles which figure in the total for 1856, but not in that for 1862, it will be found that after 1856 the number of spindles remained nearly stationary.	Zählt man aber die Dublierspindeln ab, die in der Aufzählung für das Jahr 1856, aber nicht für 1862 figurieren, so blieb die Anzahl der Spindeln seit 1856 ziemlich stationär.	ch15_clean.en-ch15_clean.de
On the other hand, after 1850 the speed of the spindles and looms was in many cases doubled.	Dagegen ward seit 1850 in vielen Fällen die Geschwindigkeit der Spindeln und Webstühle verdoppelt.	ch15_clean.en-ch15_clean.de
The number of power-looms in worsted mills was 32, in 1850, 38, in 1856, and 43, in 1862.	Die Zahl der Dampfwebstühle in der Worsted-Fabrik 1850: 32.617, 1856: 38.956 und 1862: 43.048.	ch15_clean.en-ch15_clean.de
The number of workers was 79, in 1850, 87, in 1856, and 86, in 1862. But the number of children under 14 years old included in these figures was 9, in 1850, 11, in 1856, and 13, in 1862.	Es waren dabei beschäftigt 1850: 79.737 Personen, 1856: 87.794 und 1862: 86.063, aber davon Kinder unter 14 Jahren 1850: 9.956, 1856: 11.228: und 1862 13.178.	ch15_clean.en-ch15_clean.de
Thus in spite of the greatly increased number of looms in 1862, compared with 1856, the total number of workers employed decreased, and the number of children exploited increased.	Trotz sehr vermehrter Anzahl der Webstühle, 1862 verglichen mit 1856, nahm also die Gesamtzahl der beschäftigten Arbeit ab, die der exploitierten Kinder zu.	ch15_clean.en-ch15_clean.de
On the 27 April 1863, Mr Ferrand said in the House of Commons: ‘I have been informed by delegates from sixteen districts of Lancashire and Cheshire, in whose behalf I speak, that the work in the factories is, in consequence of the improvements in machinery, constantly on the increase.	Am 27. April 1863 erklärte das Parlamentsmitglied Ferrand im Unterhause: "Arbeiterdelegierte von 16 Distrikten von Lancashire und Cheshire, in deren Auftrag ich spreche, haben mir mitgeteilt, daß die Arbeit in den Fabriken infolge der Verbeßrung der Maschinerie beständig wachse.	ch15_clean.en-ch15_clean.de
Instead of as formerly one person with two helps tenting two looms, one person now tents three looms without helps, and it is no uncommon thing for one person to tent four. hours’ work, as is evident from the facts adduced, is now compressed into less than 10 hours.	Statt daß früher eine Person mit Gehilfen zwei Webstühle bediente, bedient sie jetzt drei ohne Gehilfen, und es ist gar nichts Ungewöhnliches, daß eine Person ihrer vier bedient usw. Zwölf Stunden Arbeit, wie aus den mitgeteilten Tatsachen hervorgeht, werden jetzt in weniger als 10 Arbeitsstunden gepreßt.	ch15_clean.en-ch15_clean.de
It is therefore self-evident, to what an enormous extent the toil of the factory operative has increased during the last ten years.’	Es ist daher selbstverständlich, in welchem ungeheuren Umfang die Mühen der Fabrikarbeiter sich seit den letzten Jahren vermehrt haben."	ch15_clean.en-ch15_clean.de
Thus, although the factory inspectors unceasingly, and quite rightly, commend the results of the Acts of 1844 and 1850, they admit that the shortening of the working day has already produced such an intensification of the labour itself as is injurious to the health of the worker and therefore to his labour-power as well.	Obgleich daher die Fabrikinspektoren die günstigen Resultate der Fabrikgesetze von 1844 und 1850 unermüdlich und mit vollem Recht lobpreisen, gestehn sie doch, daß die Verkürzung des Arbeitstags bereits eine die Gesundheit der Arbeiter, also die Arbeitskraft selbst zerstörende Intensität der Arbeit hervorgerufen habe.	ch15_clean.en-ch15_clean.de
‘In most of the cotton, worsted, and silk mills, an exhausting state of excitement necessary to enable the workers satisfactorily to mind the machinery, the motion of which has been greatly accelerated within the last few years, seems to me not unlikely to be one of the causes of that excess of mortality from lung disease, which Dr Greenhow has pointed out in his recent report on this subject.’	"In den meisten Baumwoll-, Worsted- und Seidenfabriken scheint der erschöpfende Zustand von Aufregung, nötig für die Arbeit an der Maschinerie, deren Bewegung in den letzten Jahren so außerordentlich beschleunigt worden ist, eine der Ursachen des Überschusses der Sterblichkeit an Lungenkrankheiten, den Dr. Greenhow in seinem jüngsten bewundernswerten Bericht nachgewiesen hat."	ch15_clean.en-ch15_clean.de
Capital’s tendency, as soon as a prolongation of the hours of labour is once for all forbidden, is to compensate for this by systematically raising the intensity of labour, and converting every improvement in machinery into a more perfect means for soaking up labour-power. There cannot be the slightest doubt that this process must soon lead once again to a critical point at which a further reduction in the hours of labour will be inevitable.	Es unterliegt nicht dem geringsten Zweifel, daß die Tendenz des Kapitals, sobald ihm Verlängrung des Arbeitstags ein für allemal durch das Gesetz abgeschnitten ist, sich durch systematische Steigrung des Intensitätsgrads der Arbeit gütlich zu tun und jede Verbeßrung der Maschinerie in ein Mittel zu größrer Aussaugung der Arbeitskraft zu verkehren, bald wieder zu einem Wendepunkt treiben muß, wo abermalige Abnahme der Arbeitsstunden unvermeidlich wird.	ch15_clean.en-ch15_clean.de
On the other hand, the rapid advance of English industry between 1848 and the present time, i.e. during the period of the 10-hour working day, surpasses the advance made between 1833 and 1847, during the period of the 12-hour working day, by far more than the latter surpasses the advance made during the half century after the first introduction of the factory system, i.e. during the period of the unrestricted working day.	Andrerseits überflügelt der Sturmmarsch der englischen Industrie von 1848 bis zur Gegenwart, d.h. während der Periode des zehnstündigen Arbeitstags, noch weit mehr die Zeit von 1833 bis 1837, d.h. die Periode des zwölfstündigen Arbeitstags, als letztre das halbe Jahrhundert seit Einführung des Fabriksystems, d.h. die Periode des unbeschränkten Arbeitstags.	ch15_clean.en-ch15_clean.de
