Chapter 25: The General Law of Capitalist Accumulation 1.	DREIUNDZWANZIGSTES KAPITEL. TEIL I.	ch25_clean.en-ch25_clean.de
Where the basis is the production of commodities, large-scale production can occur only in a capitalist form.	Der Boden der Warenproduktion kann die Produktion auf großer Stufenleiter nur in kapitalistischer Form tragen.	ch25_clean.en-ch25_clean.de
A certain accumulation of capital in the hands of individual producers therefore forms the necessary pre-condition for a specifically capitalist mode of production.	Eine gewisse Akkumulation von Kapital in den Händen individueller Warenproduzenten bildet daher die Voraussetzung der spezifisch kapitalistischen Produktionsweise.	ch25_clean.en-ch25_clean.de
We had therefore to presuppose this when dealing with the transition from handicrafts to capitalist industry.	Wir mußten sie deshalb unterstellen bei dem Übergang aus dem Handwerk in den kapitalistischen Betrieb.	ch25_clean.en-ch25_clean.de
It may be called primitive accumulation [urspriingliche Akkumulation], because it is the historical basis, instead of the historical result, of specifically capitalist production.	Sie mag die ursprüngliche Akkumulation heißen, weil sie statt historisches Resultat historische Grundlage der spezifisch kapitalistischen Produktion ist.	ch25_clean.en-ch25_clean.de
How it itself originates we need not investigate as yet.	Wie sie selbst entspringt, brauchen wir hier noch nicht zu untersuchen.	ch25_clean.en-ch25_clean.de
It is enough that it forms the starting-point.	Genug, sie bildet den Ausgangspunkt.	ch25_clean.en-ch25_clean.de
But all methods for raising the social productivity of labour that grow up on this basis are at the same time methods for the increased production of surplus-value or surplus product, which is in its turn the formative element of accumulation.	Aber alle Methoden zur Steigerung der gesellschaftlichen Produktivkraft der Arbeit, die auf dieser Grundlage erwachsen, sind zugleich Methoden der gesteigerten Produktion des Mehrwerts oder Mehrprodukts, welches seinerseits das Bildungselement der Akkumulation.	ch25_clean.en-ch25_clean.de
They are, therefore, also methods for the production of capital by capital, or methods for its accelerated accumulation.	Sie sind also zugleich Methoden der Produktion von Kapital durch Kapital oder Methoden seiner beschleunigten Akkumulation.	ch25_clean.en-ch25_clean.de
The continual re-conversion of surplus-value into capital now appears in the shape of the increasing magnitude of the capital that enters into the production process.	Die kontinuierliche Rückverwandlung von Mehrwert in Kapital stellt sich dar als wachsende Größe des in den Produktionsprozeß eingehenden Kapitals.	ch25_clean.en-ch25_clean.de
This is in turn the basis of an extended scale of production, of the methods for raising the productivity of labour that accompany it, and of an accelerated production of surplus-value.	Diese wird ihrerseits Grundlage einer erweiterten Stufenleiter der Produktion, der sie begleitenden Methoden zur Steigerung der Produktivkraft der Arbeit und beschleunigter Produktion von Mehrwert.	ch25_clean.en-ch25_clean.de
If, therefore, a certain degree of accumulation of capital appears as a pre-condition for the specifically capitalist mode of production, the latter reacts back to cause an accelerated accumulation of capital.	Wenn also ein gewisser Grad der Kapitalakkumulation als Bedingung der spezifisch kapitalistischen Produktionsweise erscheint, verursacht die letztere rückschlagend eine beschleunigte Akkumulation des Kapitals.	ch25_clean.en-ch25_clean.de
With the accumulation of capital, therefore, the specifically capitalist mode of production develops, and, with the capitalist mode of production, the accumulation of capital.	Mit der Akkumulation des Kapitals entwickelt sich daher die spezifisch kapitalistische Produktionsweise und mit der spezifisch kapitalistischen Produktionsweise die Akkumulation des Kapitals.	ch25_clean.en-ch25_clean.de
These two economic factors bring about, in the compound ratio of the impulses they give to each other, that change in the technical composition of capital by which the variable component becomes smaller and smaller as compared with the constant component.	Diese beiden ökonomischen Faktoren erzeugen, nach dem zusammengesetzten Verhältnis des Anstoßes, den sie sich gegenseitig erteilen, den Wechsel in der technischen Zusammensetzung des Kapitals, durch welchen der variable Bestandteil immer kleiner und kleiner wird, verglichen mit dem konstanten.	ch25_clean.en-ch25_clean.de
Every individual capital is a larger or smaller concentration of means of production, with a corresponding command over a larger or smaller army of workers.	Jedes individuelle Kapital ist eine größere oder kleinere Konzentration von Produktionsmitteln mit entsprechendem Kommando über eine größere oder kleinere Arbeiterarmee.	ch25_clean.en-ch25_clean.de
Every accumulation becomes the means of new accumulation.	Jede Akkumulation wird das Mittel neuer Akkumulation.	ch25_clean.en-ch25_clean.de
With the increasing mass of wealth which functions as capital, accumulation increases the concentration of that wealth in the hands of individual capitalists, and thereby widens the basis of production on a large scale and extends the specifically capitalist methods of production.	Sie erweitert mit der vermehrten Masse des als Kapital funktionierenden Reichtums seine Konzentration in den Händen individueller Kapitalisten, daher die Grundlage der Produktion auf großer Stufenleiter und der spezifisch kapitalistischen Produktionsmethoden.	ch25_clean.en-ch25_clean.de
The growth of the social capital is accomplished through the growth of many individual capitals.	Das Wachstum des gesellschaftlichen Kapitals vollzieht sich im Wachstum vieler individuellen Kapitale.	ch25_clean.en-ch25_clean.de
All other circumstances remaining the same, the individual capitals grow, and with their growth the concentration of the means of production increases, in the proportion in which they form aliquot parts of the total social capital.	Alle andren Umstände als gleichbleibend vorausgesetzt, wachsen die individuellen Kapitale, und mit ihnen die Konzentration der Produktionsmittel, im Verhältnis, worin sie aliquote Teile des gesellschaftlichen Gesamtkapitals bilden.	ch25_clean.en-ch25_clean.de
At the same time offshoots split off from the original capitals and start to function as new and independent capitals.	Zugleich reißen sich Ableger von den Originalkapitalen los und funktionieren als neue selbständige Kapitale.	ch25_clean.en-ch25_clean.de
Apart from other causes, the division of property within capitalist families plays a great part in this.	Eine große Rolle spielt dabei unter anderm die Teilung des Vermögens in Kapitalistenfamilien.	ch25_clean.en-ch25_clean.de
With the accumulation of capital, therefore, the number of capitalists grows to a greater or lesser extent.	Mit der Akkumulation des Kapitals wächst daher auch mehr oder minder die Anzahl der Kapitalisten.	ch25_clean.en-ch25_clean.de
Two features characterize this kind of concentration, which grows directly out of accumulation, or rather is identical with it.	Zwei Punkte charakterisieren diese Art Konzentration, welche unmittelbar auf der Akkumulation beruht oder vielmehr mit ihr identisch ist.	ch25_clean.en-ch25_clean.de
Firstly: the increasing concentration of the social means of production in the hands of individual capitalists is, other things remaining equal, limited by the degree of increase of social wealth.	Erstens: Die wachsende Konzentration der gesellschaftlichen Produktionsmittel in den Händen indivi- dueller Kapitalisten ist, unter sonst gleichbleibenden Umständen, beschränkt durch den Wachstumsgrad des gesellschaftlichen Reichtums.	ch25_clean.en-ch25_clean.de
Secondly: the part of the social capital domiciled in each particular sphere of production is divided among many capitalists who confront each other as mutually independent and competitive commodity-producers.	Zweitens: Der in jeder besondren Produktionssphäre ansässige Teil des gesellschaftlichen Kapitals ist verteilt unter viele Kapitalisten, welche einander als unabhängige und miteinander konkurrierende Warenproduzenten gegenüberstehn.	ch25_clean.en-ch25_clean.de
Therefore not only are accumulation and the concentration accompanying it scattered over many points, but the increase of each functioning capital is thwarted by the formation of new capitals and the subdivision of old.	Die Akkumulation und die sie begleitende Konzentration sind also nicht nur auf viele Punkte zersplittert, sondern das Wachstum der funktionierenden Kapitale ist durchkreuzt durch die Bildung neuer und die Spaltung alter Kapitale.	ch25_clean.en-ch25_clean.de
Accumulation, therefore, presents itself on the one hand as increasing concentration of the means of production, and of the command over labour; and on the other hand as repulsion of many individual capitals from one another.	Stellt sich die Akkumulation daher einerseits dar als wachsende Konzentration der Produktionsmittel und des Kommandos über Arbeit, so andrerseits als Repulsion vieler individueller Kapitale voneinander.	ch25_clean.en-ch25_clean.de
This fragmentation of the total social capital into many individual capitals, or the repulsion of its fractions from each other, is counteracted by their attraction.	Dieser Zersplitterung des gesellschaftlichen Gesamtkapitals in viele individuelle Kapitale oder der Repulsion seiner Bruchteile voneinander wirkt entgegen ihre Attraktion.	ch25_clean.en-ch25_clean.de
The attraction of capitals no longer means the simple concentration of the means of production and the command over labour, which is identical with accumulation.	Es ist dies nicht mehr einfache, mit der Akkumulation identische Konzentration von Produktionsmitteln und Kommando über Arbeit.	ch25_clean.en-ch25_clean.de
It is concentration of capitals already formed, destruction of their individual independence, expropriation of capitalist by capitalist, transformation of many small into few large capitals.	Es ist Konzentration bereits gebildeter Kapitale, Aufhebung ihrer individuellen Selbständigkeit, Expropriation von Kapitalist durch Kapitalist, Verwandlung vieler kleineren in weniger größere Kapitale.	ch25_clean.en-ch25_clean.de
This process differs from the first one in this respect, that it only presupposes a change in the distribution of already available and already functioning capital. Its field of action is therefore not limited by the absolute growth of social wealth, or in other words by the absolute limits of accumulation.	Dieser Prozeß unterscheidet sich von dem ersten dadurch, daß er nur veränderte Verteilung der bereits vorhandnen und funktionierenden Kapitale voraussetzt, sein Spielraum also durch das absolute Wachstum des gesellschaftlichen Reichtums oder die absoluten Grenzen der Akkumulation nicht beschränkt ist.	ch25_clean.en-ch25_clean.de
Capital grows to a huge mass in a single hand in one place, because it has been lost by many in another place.	Das Kapital schwillt hier in einer Hand zu großen Massen, weil es dort in vielen Händen verlorengeht.	ch25_clean.en-ch25_clean.de
This is centralization proper, as distinct from accumulation and concentration.	Es ist die eigentliche Zentralisation im Unterschied zur Akkumulation und Konzentration.	ch25_clean.en-ch25_clean.de
The laws of this centralization of capitals, or of the attraction of capital by capital, cannot be developed here.	Die Gesetze dieser Zentralisation der Kapitale oder der Attraktion von Kapital durch Kapital können hier nicht entwickelt werden.	ch25_clean.en-ch25_clean.de
A few brief factual indications must suffice.	Kurze tatsächliche Andeutung genügt.	ch25_clean.en-ch25_clean.de
The battle of competition is fought by the cheapening of commodities.	Der Konkurrenzkampf wird durch Verwohlfeilerung der Waren geführt.	ch25_clean.en-ch25_clean.de
The cheapness of commodities depends, all other circumstances remaining the same, on the productivity of labour, and this depends in turn on the scale of production.	Die Wohlfeilheit der Waren hängt, caeteris paribus <unter sonst gleichbleibenden Umständen>, von der Produktivität der Arbeit, diese aber von der Stufenleiter der Produktion ab.	ch25_clean.en-ch25_clean.de
Therefore the larger capitals beat the smaller.	Die größeren Kapitale schlagen daher die kleineren.	ch25_clean.en-ch25_clean.de
It will further be remembered that, with the development of the capitalist mode of production, there is an increase in the minimum amount of individual capital necessary to carry on a business under its normal conditions.	Man erinnert sich ferner, daß mit der Entwicklung der kapitalistischen Produktionsweise der Minimalumfang des individuellen Kapitals wächst, das erheischt ist, um ein Geschäft unter seinen normalen Bedingungen zu betreiben.	ch25_clean.en-ch25_clean.de
The smaller capitals, therefore, crowd into spheres of production which large-scale industry has taken control of only sporadically or incompletely.	Die kleineren Kapitale drängen sich daher in Produktionssphären, deren sich die große Industrie nur noch sporadisch oder unvollkommen bemächtigt hat.	ch25_clean.en-ch25_clean.de
Here competition rages in direct proportion to the number, and in inverse proportion to the magnitude, of the rival capitals.	Die Konkurrenz rast hier im direkten Verhältnis zur Anzahl und im umgekehrten Verhältnis zur Größe der rivalisierenden Kapitale.	ch25_clean.en-ch25_clean.de
It always ends in the ruin of many small capitalists, whose capitals partly pass into the hands of their conquerors, and partly vanish completely.	Sie endet stets mit Untergang vieler kleineren Kapitalisten, deren Kapitale teils in die Hand des Siegers übergehn, teils untergehn.	ch25_clean.en-ch25_clean.de
Apart from this, an altogether new force comes into existence with the development of capitalist production: the credit system. * In its first stages, this system furtively creeps in as the humble assistant of accumulation, drawing into the hands of individual or associated capitalists by invisible threads the money resources, which lie scattered in larger or smaller amounts over the surface of society; but it soon becomes a new and terrible weapon in the battle of competition and is finally transformed into an enormous social mechanism for the centralization of capitals.	Abgesehn hiervon bildet sich mit der kapitalistischen Produktion eine ganz neue Macht, das Kreditwesen, das in seinen Anfängen verstohlen, als bescheidne Beihilfe der Akkumulation, sich einschleicht, durch unsichtbare Fäden die über die Oberfläche der Gesellschaft in größern oder kleinem Massen zersplitterten Geldmittel in die Hände individueller oder assoziierter Kapitalisten zieht, aber bald eine neue und furchtbare Waffe im Konkurrenzkampf wird und sich schließlich in einen ungeheuren sozialen Mechanismus zur Zentralisation der Kapitale verwandelt.	ch25_clean.en-ch25_clean.de
Commensurately with the development of capitalist production and accumulation there also takes place a development of the two most powerful levers of centralization – competition and credit At the same time the progress of accumulation increases the material amenable to centralization, i.e. the individual capitals, while the expansion of capitalist production creates, on the one hand, the social need, and on the other hand, the technical means, for those immense industrial undertakings which require a previous centralization of capital for their accomplishment.	Im Maß wie die kapitalistische Produktion und Akkumulation, im selben Maß entwickeln sich Konkurrenz und Kredit, die beiden mächtigsten Hebel der Zentralisation. Daneben vermehrt der Fortschritt der Akkumulation den zentralisierbaren Stoff, d.h. die Einzelkapitale, während die Ausweitung der kapitalistischen Produktion, hier das gesellschaftliche Bedürfnis, dort die technischen Mittel jener gewaltigen industriellen Unternehmungen schafft, deren Durchführung an eine vorgängige Zentralisation des Kapitals gebunden ist.	ch25_clean.en-ch25_clean.de
Today, therefore, the force of attraction which draws together individual capitals, and the tendency to centralization, are both stronger than ever before.	Heutzutage ist also die gegenseitige Attraktionskraft der Einzelkapitale und die Tendenz zur Zentralisation stärker als je zuvor.	ch25_clean.en-ch25_clean.de
But if the relative extension and energy of the movement towards centralization is determined, to a certain degree, by the magnitude of capitalist wealth and the superiority of the economic mechanism already attained, the advance of centralization does not depend in any way on a positive growth in the magnitude of social capital.	Wenn aber auch die relative Ausdehnung und Energie der zentralisierenden Bewegung in gewissem Grad bestimmt ist durch die schon erreichte Größe des kapitalistischen Reichtums und die Überlegenheit des ökonomischen Mechanismus, so hängt doch der Fortschritt der Zentralisation keineswegs ab von dem positiven Größenwachstum des gesellschaftlichen Kapitals.	ch25_clean.en-ch25_clean.de
And this is what distinguishes centralization from concentration, the latter being only another name for reproduction on an extended scale.	Und dies speziell unterscheidet die Zentralisation von der Konzentration, die nur ein andrer Ausdruck für die Reproduktion auf erweiterter Stufenleiter ist.	ch25_clean.en-ch25_clean.de
Centralization may result from a mere change in the distribution of already existing capitals, from a simple alteration in the quantitative grouping of the component parts of social capital.	Die Zentralisation kann erfolgen durch bloße veränderte Verteilung schon bestehender Kapitale, durch einfache Veränderung der quantitativen Gruppierung der Bestandteile des gesellschaftlichen Kapitals.	ch25_clean.en-ch25_clean.de
Capital can grow into powerful masses in a single hand in one place, because in other places it has been withdrawn from many individual hands.	Das Kapital kann hier zu gewaltigen Massen in einer Hand anwachsen, weil es dort vielen einzelnen Händen entzogen wird.	ch25_clean.en-ch25_clean.de
In any given branch of industry centralization would reach its extreme limit if all the individual capitals invested there were fused into a single capital.	In einem gegebnen Geschäftszweig hätte die Zentralisation ihre äußerste Grenze erreicht, wenn alle darin angelegten Kapitale zu einem Einzelkapital verschmolzen wären.	ch25_clean.en-ch25_clean.de
In a given society this limit would be reached only when the entire social capital was united in the hands of either a single capitalist or a single capitalist company.	(77b) In einer gegebnen Gesellschaft wäre diese Grenze erreicht erst in dem Augenblick, wo das gesamte gesellschaftliche Kapital vereinigt wäre in der Hand, sei es eines einzelnen Kapitalisten, sei es einer einzigen Kapitalistengesellschaft.	ch25_clean.en-ch25_clean.de
Centralization supplements the work of accumulation by enabling industrial capitalists to extend the scale of their operations.	Die Zentralisation ergänzt das Werk der Akkumulation, indem sie die industriellen Kapitalisten instand setzt, die Stufenleiter ihrer Operationen auszudehnen.	ch25_clean.en-ch25_clean.de
Whether this latter result is the consequence of accumulation or centralization, whether centralization is accomplished by the violent method of annexation – where certain capitals become such preponderant centres of attraction for others that they shatter the individual cohesion of the latter and then draw the separate fragments to themselves – or whether the fusion of a number of capitals already formed or in process of formation takes place by the smoother process of organizing joint-stock companies – the economic effect remains the same.	Sei dies letztre Resultat nun Folge der Akkumulation oder der Zentralisation; vollziehe sich die Zentralisation auf dem gewaltsamen Weg der Annexion - wo gewisse Kapitale so überwiegende Gravitationszentren für andre werden, daß sie deren individuelle Kohäsion brechen und dann die vereinzelten Bruchstücke an sich ziehn - oder geschehe die Verschmelzung einer Menge bereits gebildeter, resp. in der Bildung begriffner Kapitale vermittelst des glatteren Verfahrens der Bildung von Aktiengesellschaften - die ökonomische Wirkung bleibt dieselbe.	ch25_clean.en-ch25_clean.de
Everywhere the increased scale of industrial establishments is the starting-point for a more comprehensive organization of the collective labour of many people, for a broader development of their material motive forces, i.e. for the progressive transformation of isolated processes of production, carried on by customary methods, into socially combined and scientifically arranged processes of production.	Die gewachsne Ausdehnung der industriellen Etablissements bildet überall den Ausgangspunkt für eine umfassendere Organisation der Gesamtarbeit vieler, für eine breitre Entwicklung ihrer materiellen Triebkräfte, d.h. für die fortschreitende Umwandlung vereinzelter und gewohnheitsmäßig betriebner Produktionsprozesse in gesellschaftlich kombinierte und wissenschaftlich disponierte Produktionsprozesse.	ch25_clean.en-ch25_clean.de
But accumulation, the gradual increase of capital by reproduction as it passes from the circular to the spiral form, is clearly a very slow procedure compared with centralization, which needs only to change the quantitative groupings of the constituent parts of social capital.	Es ist aber klar, daß die Akkumulation, die allmähliche Vermehrung des Kapitals durch die aus der Kreisform in die Spirale übergehende Reproduktion ein gar langsames Verfahren ist, im Vergleich mit der Zentralisation, die nur die quantitative Gruppierung der integrierenden Teile des gesellschaftlichen Kapitals zu ändern braucht.	ch25_clean.en-ch25_clean.de
The world would still be without railways if it had had to wait until accumulation had got a few individual capitals far enough to be adequate for the construction of a railway.	Die Welt wäre noch ohne Eisenbahnen, hätte sie solange warten müssen, bis die Akkumulation einige Einzelkapitale dahin gebracht hätte, dem Bau einer Eisenbahn gewachsen zu sein.	ch25_clean.en-ch25_clean.de
Centralization, however, accomplished this in the twinkling of an eye, by means of joint-stock companies.	Die Zentralisation dagegen hat dies, vermittelst der Aktiengesellschaften, im Handumdrehn fertiggebracht.	ch25_clean.en-ch25_clean.de
And while in this way centralization intensifies and accelerates the effects of accumulation, it simultaneously extends and speeds up those revolutions in the technical composition of capital which raise its constant portion at the expense of its variable portion, thus diminishing the relative demand for labour.	Und während die Zentralisation so die Wirkungen der Akkumulation steigert und beschleunigt, erweitert und beschleunigt sie gleichzeitig die Umwälzungen in der technischen Zusammensetzung des Kapitals, die dessen konstanten Teil vermehren auf Kosten seines variablen Teils und damit die relative Nachfrage nach Arbeit vermindern.	ch25_clean.en-ch25_clean.de
The masses of capital welded together overnight by centralization reproduce and multiply as the others do, only more rapidly, and they thereby become new and powerful levers of social accumulation.	Die durch die Zentralisation über Nacht zusammengeschweißten Kapitalmassen reproduzieren und vermehren sich wie die andren, nur rascher, und werden damit zu neuen mächtigen Hebeln der gesellschaftlichen Akku- mulation.	ch25_clean.en-ch25_clean.de
Therefore, when we speak of the progress of social accumulation, we tacitly include – these days – the effects of centralization.	Spricht man also vom Fortschritt der gesellschaftlichen Akkumulation, so sind darin - heutzutage - die Wirkungen der Zentralisation stillschweigend einbegriffen.	ch25_clean.en-ch25_clean.de
The additional capitals formed in the normal course of accumulation (see Chapter 24, Section 1) serve above all as vehicles for the exploitation of new inventions and discoveries, and industrial improvements in general.	Die im Lauf der normalen Akkumulation gebildeten Zusatzkapitale (s. Kap. XXII, 1) dienen vorzugsweise als Vehikel zur Exploitation neuer Erfindungen und Entdeckungen, überhaupt industrieller Vervollkommnungen.	ch25_clean.en-ch25_clean.de
But in time the old capital itself reaches the point where it has to be renewed in all its aspects, a time when it sheds its skin and is reborn like the other capitals in a perfected technical shape, in which a smaller quantity of labour will suffice to set in motion a larger quantity of machinery and raw material.	Aber auch das alte Kapital erreicht mit der Zeit den Moment seiner Erneuerung an Haupt und Gliedern, wo es sich häutet und ebenfalls wiedergeboren wird in der vervollkommneten technischen Gestalt, worin eine geringere Masse Arbeit genügte, eine größere Masse Maschinerie und Rohstoffe in Bewegung zu setzen.	ch25_clean.en-ch25_clean.de
The absolute reduction in the demand for labour which necessarily follows from this is obviously so much the greater, the higher the degree to which the capitals undergoing this process of renewal are already massed together by virtue of the movement towards centralization.	Die hieraus notwendig folgende absolute Abnahme der Nachfrage nach Arbeit wird selbstredend um so größer, je mehr die diesen Erneuerungsprozeß durchmachenden Kapitale bereits zu Massen angehäuft sind vermöge der zentralisierenden Bewegung.	ch25_clean.en-ch25_clean.de
On the one hand, therefore, the additional capital formed in the course of further accumulation attracts fewer and fewer workers in proportion to its magnitude.	Einerseits attrahiert also das im Fortgang der Akkumulation gebildete Zuschußkapital, verhältnismäßig zu seiner Größe, weniger und weniger Arbeiter.	ch25_clean.en-ch25_clean.de
On the other hand, the old capital periodically reproduced with a new composition repels more and more of the workers formerly employed by it.	Andrerseits repelliert das periodisch in neuer Zusammensetzung reproduzierte alte Kapital mehr und mehr früher von ihm beschäftigte Arbeiter.	ch25_clean.en-ch25_clean.de
3. THE PROGRESSIVE PRODUCTION OF A RELATIVE SURPLUS POPULATION OR INDUSTRIAL RESERVE ARMY The accumulation of capital, which originally appeared only as its quantitative extension, comes to fruition, as we have seen, through a progressive qualitative change in its composition, i.e. through a continuing increase of its constant component at the expense of its variable component.	3. Progressive Produktion einer relativen Übervölkerung oder industriellen Reservearmee Die Akkumulation des Kapitals, welche ursprünglich nur als seine quantitative Erweiterung erschien, vollzieht sich, wie wir gesehn, in fortwährendem qualitativen Wechsel seiner Zusammensetzung, in beständiger Zunahme seines konstanten auf Kosten seines variablen Bestandteils.	ch25_clean.en-ch25_clean.de
The specifically capitalist mode of production, the development of the productivity of labour which corresponds to it, and the change in the organic composition of capital which results from it, are things which do not merely keep pace with the progress of accumulation, or the growth of social wealth.	(77c) Die spezifisch kapitalistische Produktionsweise, die ihr entsprechende Entwicklung der Produktivkraft der Arbeit, der dadurch verursachte Wechsel in der organischen Zusammensetzung des Kapitals halten nicht nur Schritt mit dem Fortschritt der Akkumulation oder dem Wachstum des gesellschaftlichen Reichtums.	ch25_clean.en-ch25_clean.de
They develop at a much quicker rate, because simple accumulation, or the absolute expansion of the total social capital, is accompanied by the centralization of its individual elements, and because the change in the technical composition of the additional capital goes hand in hand with a similar change in the technical composition of the original capital.	Sie schreiten ungleich schneller, weil die einfache Akkumulation oder die absolute Ausdehnung des Gesamtkapitals von der Zentralisation seiner individuellen Elemente, und die technische Umwälzung des Zusatzkapitals von technischer Umwälzung des Originalkapitals begleitet sind.	ch25_clean.en-ch25_clean.de
With the progress of accumulation, therefore, the proportion of constant to variable capital changes. If it was originally say 1:1, it now becomes successively 2:1, 3:1, 4:1, 5:1, 7:1, etc., so that as the capital grows, instead of 1/ its total value, only 1/3, 1/4, ⅕, 1/6, 5/6, etc. is turned into labour-power, and, on the other hand, 2/3, 3/4, 4/5, 5/6, 7/8, into means of production.	Mit dem Fortgang der Akkumulation wandelt sich also das Verhältnis von konstantem zu variablem Kapitalteil, wenn ursprünglich 1:1, in 2:1, 3:1, 4: 1, 5: 1, 7:1 usw., so daß, wie das Kapital wächst, statt 1/2 seines Gesamtwerts progressiv nur 1/3, 1/4, 1/5, 1/6, 1/5 usw. in Arbeitskraft, dagegen 2/3, 3/4, 4/5, 5/6, 7/8 usw. in Produktionsmittel umgesetzt wird.	ch25_clean.en-ch25_clean.de
Since the demand for labour is determined not by the extent of the total capital but by its variable constituent alone, that demand falls progressively with the growth of the total capital, instead of rising in proportion to it, as was previously assumed.	Da die Nachfrage nach Arbeit nicht durch den Umfang des Gesamtkapitals, sondern durch den seines variablen Bestandteils bestimmt ist, fällt sie also progressiv mit dem Wachstum des Gesamtkapitals, statt, wie vorhin unterstellt, verhältnismäßig mit ihm zu wachsen.	ch25_clean.en-ch25_clean.de
It falls relatively to the magnitude of the total capital, and at an accelerated rate, as this magnitude increases.	Sie fällt relativ zur Größe des Gesamtkapitals und in beschleunigter Progression mit dem Wachstum dieser Größe.	ch25_clean.en-ch25_clean.de
With the growth of the total capital, its variable constituent, the labour incorporated in it, does admittedly increase, but in a constantly diminishing proportion.	Mit dem Wachstum des Gesamtkapitals wächst zwar auch sein variabler Bestandteil, oder die ihm einverleibte Arbeitskraft, aber in beständig abnehmender Proportion.	ch25_clean.en-ch25_clean.de
The intermediate pauses in which accumulation works as simple extension of production on a given technical basis are shortened.	Die Zwischenpausen, worin die Akkumulation als bloße Erweiterung der Produktion auf gegebner technischer Grundlage wirkt, verkürzen sich.	ch25_clean.en-ch25_clean.de
It is not merely that an accelerated accumulation of the total capital, accelerated in a constantly growing progression, is needed to absorb an additional number of workers, or even, on account of the constant metamorphosis of old capital, to keep employed those already performing their functions.	Nicht nur wird eine in wachsender Progression beschleunigte Akkumulation des Gesamtkapitals erheischt, um eine zusätzliche Arbeiterzahl von gegebner Größe zu absorbieren oder selbst, wegen der beständigen Metamorphose des alten Kapitals, die bereits funktionierende zu beschäftigen.	ch25_clean.en-ch25_clean.de
This increasing accumulation and centralization also becomes in its turn a source of new changes in the composition of capital, or in other words of an accelerated diminution of the capital’s variable component, as compared with its constant one.	Ihrerseits schlägt diese wachsende Akkumulation und Zentralisation selbst wieder um in eine Quelle neuer Wechsel der Zusammensetzung des Kapitals oder abermalig beschleunigter Abnahme seines variablen Bestandteils, verglichen mit dem konstanten.	ch25_clean.en-ch25_clean.de
This accelerated relative diminution of the variable component, which accompanies the accelerated increase of the total capital and moves more rapidly than this increase, takes the inverse form, at the other pole, of an apparently absolute increase in the working population, an increase which always moves more rapidly than that of the variable capital or the means of employment.	Diese mit dem Wachstum des Gesamtkapitals beschleunigte und rascher als sein eignes Wachstum beschleunigte relative Abnahme seines variablen Bestandteils scheint auf der andren Seite umgekehrt stets rascheres absolutes Wachstum der Arbeiterbevölkerung als das des variablen Kapitals oder ihrer Beschäftigungsmittel.	ch25_clean.en-ch25_clean.de
But in fact it is capitalist accumulation itself that constantly produces, and produces indeed in direct relation with its own energy and extent, a relatively redundant working population, i.e. a population which is superfluous to capital’s average requirements for its own valorization, and is therefore a surplus population.	Die kapitalistische Akkumulation produziert vielmehr, und zwar im Verhältnis zu ihrer Energie und ihrem Umfang, beständig eine relative, d.h. für die mittleren Verwertungsbedürfnisse des Kapitals überschüssige, daher überflüssige oder Zuschuß-Arbeiterbevölkerung.	ch25_clean.en-ch25_clean.de
If we consider the total social capital, we can say that the movement of its accumulation sometimes causes periodic changes, and at other times distributes various phases simultaneously over the different spheres of production.	Das gesellschaftliche Gesamtkapital betrachtet, ruft die Bewegung seiner Akkumulation bald periodischen Wechsel hervor, bald verteilen sich ihre Momente gleichzeitig über die verschiednen Produktionssphären.	ch25_clean.en-ch25_clean.de
In some spheres a change in the composition of capital occurs without any increase in its absolute magnitude, as a consequence of simple concentration*; in others the absolute growth of capital is connected with an absolute diminution in its variable component, or in other words, in the labour-power absorbed by it; in others again, capital continues to grow for a time on its existing technical basis, and attracts additional labour-power in proportion to its increase, while at other times it undergoes organic change and reduces its variable component; in all spheres, the increase of the variable part of the capital, and therefore of the number of workers employed by it, is always connected with violent fluctuations and the temporary production of a surplus population, whether this takes the more striking form of the extrusion of workers already employed, or the less evident, but not less real, form of a greater difficulty in absorbing the additional working population through its customary outlets.	In einigen Sphären findet Wechsel in der Zusammensetzung des Kapitals statt ohne Wachstum seiner absoluten Größe, infolge bloßer Konzentration <3. Auflage: Zentralisation>; in andren ist das absolute Wachstum des Kapitals mit absoluter Abnahme seines variablen Bestandteils oder der von ihm absorbierten Arbeitskraft verbunden; in andren wächst das Kapital bald auf seiner gegebnen technischen Grundlage fort und attrahiert zuschüssige Arbeitskraft im Verhältnis seines Wachstums, bald tritt organischer Wechsel ein und kontrahiert sich sein variabler Bestandteil; in allen Sphären ist das Wachstum des variablen Kapitalteils und daher der beschäftigten Arbeiterzahl stets verbunden mit heftigen Fluktuationen und vorübergehender Produktion von Übervölkerung, ob diese nun die auffallendere Form von Repulsion bereits beschäftigter Arbeiter annimmt oder die mehr unscheinbare, aber nicht minder wirksame, erschwerter Absorption der zuschüssigen Arbeiterbevölkerung in ihre gewohnten Abzugskanäle.	ch25_clean.en-ch25_clean.de
