Avis juridique important	Fontos jogi nyilatkozat	31996L0034_en-hu
8. All matters relating to social security in relation to this agreement are for consideration and determination by Member States according to national law, taking into account the importance of the continuity of the entitlements to social security cover under the different schemes, in particular health care.	8. Az e megállapodással kapcsolatban felmerülő szociálisbiztonságotérintő valamennyi ügyet a tagállamoknakkell megvizsgálniukés eldönteniük a nemzeti jogszabályoknakmegfelelően, figyelembe véve különbözőrendszereken, de különösenaz egészségbiztosításonalapuló szociálisbiztonsági fedezetre való jogosultságokfolytonosságánakfontosságát.	31996L0034_en-hu
Clause 3: Time off from work on grounds of force majeure	3. szakasz: Munkából történőtávolmaradásv is maior következtében	31996L0034_en-hu
1. Member States and/or management and labour shall take the necessary measures to entitle workers to time off from work, in accordance with national legislation, collective agreements and/or practice, on grounds of force majeure for urgent family reasons in cases of sickness or accident making the immediate presence of the worker indispensable.	1. A tagállamok és/vagy a szociális partnerek a nemzetijogszabályoknak, kollektív szerződéseknek és/vagygyakorlatnak megfelelőenminden ahhoz szükséges intézkedéstmegtesznek, hogya munkavállalók azonnali jelenlététkövetelőbetegség vagy baleset esetén, sürgőscsaládiokból adódó vis maior alapjántávolmaradhassanaka munkából.	31996L0034_en-hu
2. Member States and/or management and labour may specify the conditions of access and detailed rules for applying clause 3.1 and limit this entitlement to a certain amount of time per year and/or per case.	2. A tagállamok és/vagy a szociális partnerek meghatározhatjáka3. szakasz 1. pontjának alkalmazására vonatkozóigénybevételifeltételeket és részletesszabályokat, éskorlátozhatják a jogosultságotannak meghatározásával, hogy az évente mennyiidőre és/vagy hány esetbenvehető igénybe.	31996L0034_en-hu
Clause 4: Final provisions	4. szakasz: Záró rendelkezések	31996L0034_en-hu
1. Member States may apply or introduce more favourable provisions that those set out in this agreement.	1. A tagállamok az e megállapodásban rögzítetteknélamunkavállalókra előnyösebb rendelkezéseketisalkalmazhatnak vagy bevezethetnek.	31996L0034_en-hu
2. Implementation of the provisions of this agreement shall not constitute valid grounds for reducing the general level of protection afforded to workers in the field covered by this agreement.	2. E megállapodás rendelkezéseinek végrehajtásanemjelent jogalapot a munkavállalók általánosvédelmiszintjének csökkentésére az e megállapodáshatályaalá tartozó területeken.	31996L0034_en-hu
This shall not prejudice the right of Member States and/or management and labour to develop different legislative, regulatory or contractual provisions, in the light of changing circumstances (including the introduction of non-transferability), as long as the minimum requirements provided for in the present agreement are complied with.	Ez nem sértia tagállamoknakés/vagy a szociális partnereknek azonjogát, hogy a bekövetkezőváltozások (beleértveaz át nem ruházhatóságbevezetését)figyelembevételével eltérőtörvényi, rendeleti vagy szerződéses rendelkezéseketállapítsanakmeg, feltéve, hogy azok az e megállapodásbanmegállapítottminimumkövetelményeknek eleget tesznek;	31996L0034_en-hu
3. The present agreement shall not prejudice the right of management and labour to conclude, at the appropriate level including European level, agreements adapting and/or complementing the provisions of this agreement in order to take into account particular circumstances.	3. Ez a megállapodás nem sérti a szociális partnereknekazta jogát, hogy a sajátos körülmények figyelembevételévelmegfelelőszinten, beleértve az európai szintet is, olyanmegállapodásokatkössenek, amelyekben átveszik és/vagykiegészítikennek a megállapodásnak a rendelkezéseit.	31996L0034_en-hu
4. Member States shall adopt the laws, regulations and administrative provisions necessary to comply with the Council decision within a period of two years from its adoption or shall ensure that management and labour (1) introduce the necessary measures by way of agreement by the end of this period.	4. A tagállamok elfogadják azokat a törvényi, rendeletiésközigazgatási rendelkezéseket, amelyek ahhozszükségesek, hogy ennek a megállapodásnak a Tanácshatározatánakelfogadásától számítottkét évenbelül megfeleljenek és biztosítsákazt, hogy ennekaz időszaknak a végéig a szociálispartnerek [1] megállapodásútjánmeghozhassák a szükséges intézkedéseket.	31996L0034_en-hu
Member States may, if necessary to take account of particular difficulties or implementation by collective agreement, have up to a maximum of one additional year to comply with this decision.	A tagállamoknak különös nehézség vagyazirányelv kollektív szerződés útjántörténővégrehajtása esetén erre továbbilegfeljebb egyév áll a rendelkezésükre.	31996L0034_en-hu
5. The prevention and settlement of disputes and grievances arising from the application of this agreement shall be dealt with in accordance with national law, collective agreements and practices.	5. A megállapodás alkalmazásából fakadóvitákatés panaszokat a nemzeti jogszabályoknak, kollektívszerződéseknekés gyakorlatnak megfelelően kellmegelőzni és rendezni.	31996L0034_en-hu
6. Without prejudice to the respective role of the Commission, national courts and the Court of Justice, any matter relating to the interpretation of this agreement at European level should, in the first instance, be referred by the Commission to the signatory parties who will give an opinion.	6. A nemzeti bíróságok és az Európai Bírósághatásköréneksérelme nélkül, a Bizottságe megállapodáseurópai szintű értelmezésévelkapcsolatosbármilyen ügyet, első fokon, az aláírófelekelé utalja, akik arról véleményt nyilvánítanak.	31996L0034_en-hu
7. The signatory parties shall review the application of this agreement five years after the date of the Council decision if requested by one of the parties to this agreement.	7. A Tanács határozatának meghozatalát követőötév elteltével az aláíró felek áttekintikemegállapodás alkalmazását, ha a megállapodásbármelyaláírója ezt kéri.	31996L0034_en-hu
Done at Brussels, 14 December 1995.	Kelt Brüsszelben, 1995. december 14-én.	31996L0034_en-hu
Fritz VERZETNITSCH,	Fritz Verzetnitsch,	31996L0034_en-hu
President of the ETUC	az ESZSZ elnöke	31996L0034_en-hu
Emilio GABAGLIO,	Emilio Gabaglio,	31996L0034_en-hu
Secretary-General		31996L0034_en-hu
ETUC	fotitkar	31996L0034_en-hu
Bld Emile Jacqmain 155	ESZSZBld Emile Jacqmain 155B-1210 Brüsszel	31996L0034_en-hu
B-1210 BrusselsAntonio Castellano AUYANET,	Antonio Castellano Auyanet,	31996L0034_en-hu
President of the CEEP	a CEEP elnöke	31996L0034_en-hu
Roger GOURVÈS,	Roger Gourvžaes,	31996L0034_en-hu
Secretary-General	főtitkár	31996L0034_en-hu
CEEP Rue de la Charité 15	CEEPRue de la Charité 15B-1040 Brüsszel	31996L0034_en-hu
B-1040 BrusselsFrançois PERIGOT,	François Perigot,	31996L0034_en-hu
President of the Unice	az UNICE elnöke	31996L0034_en-hu
Zygmunt TYSZKIEWICZ,	Zygmunt Tyszkiewicz,	31996L0034_en-hu
Secretary-General		31996L0034_en-hu
UNICE		31996L0034_en-hu
Rue Joseph II 40	főtitkár	31996L0034_en-hu
B-1040 Brussels	UNICERue Joseph II 40B-1040 Brüsszel	31996L0034_en-hu
	[1] A Megállapodás a szociálpolitikáról2.cikkének (4) bekezdése értelmében.	31996L0034_en-hu
	--------------------------------------------------	31996L0034_en-hu
