0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
500,"The next day, masses of ragged Irishmen or decayed English agricultural labourers may come crowding in, like a swarm of locusts.",Morgen wandert ein Heuschreckenschwarm von verlumpten Irländern oder verkommenen englischen Agrikulturarbeitern ein.,3.993668982612731
501,"They are stowed away in cellars and lofts, or a hitherto respectable working-class dwelling is transformed into a lodging-house whose personnel changes as quickly as soldiers’ quarters in the Thirty Years War.","Man steckt sie weg in Keller und Speicher oder verwandelt das früher respektable Arbeiterhaus in ein Logis, worin das Personal so rasch wechselt wie die Einquartierung während des Dreißigjährigen Kriegs.",3.3123007691277255
502,Take Bradford for example.,Beispiel: Bradford.,2.6994635683102213
503,There the municipal philistine had just been engaged in making improvements to the town.,Dort war der Munizipalphilister eben mit Stadtreform beschäftigt.,2.6943291579704476
504,"Besides, there were still 1, uninhabited houses in Bradford in 1861.",Zudem gab es daselbst 1861 noch 1751 unbewohnte Häuser.,2.9212876235158083
505,"But now comes that revival of trade which the sweet-natured Liberal Mr Forster, the Negro’s friend, recently crowed over so gracefully. * With the revival of trade there naturally occurred an overflow from the wages of the ever-fluctuating ‘reserve army’ or ‘relative surplus population’.","Aber nun das gute Geschäft, worüber der sanft liberale Herr Forster, der Negerfreund, jüngst so artig gekräht hat. Mit dem guten Geschäft natürlich Überflutung durch die Wellen der stets wogenden ""Reservearmee - oder ""relativen Übervölkerung"".",3.085469962952186
506,"The frightful cellar habitations and rooms registered in the list, which Dr Hunter obtained from the agent of an insurance company, were for the most part inhabited by well-paid workers.","Die scheußlichen Kellerwohnungen und Kammern, registriert in der Liste (Note ), die Dr. Hunter vom Agenten einer Assekuranzgesellschaft erhielt, waren meist von gutbezahlten Arbeitern bewohnt.",3.6686329601564323
507,They declared that they would willingly pay for better dwellings if they were to be had.,"Sie erklärten, sie würden gern bessere Wohnungen zahlen, wenn sie zu haben wären.",2.5398199575392875
508,"Meanwhile they become degraded and fall ill, every man jack of them, while that sweet-natured Liberal, Forster M.P., sheds tears of joy over the blessings of free trade, and the profits of the eminent men of Bradford who deal in worsted.","Unterdes verlumpen und verkranken sie mit Mann und Maus, während der sanftliberale Forster, M.P., Tränen vergießt über die Segnungen des Freihandels und die Profite der eminenten Bradforder Köpfe, die in Worsted <Kammgarn> machen.",3.283463284186779
509,"In the report of 5 September 1865, Dr Bell, one of the poor law doctors of Bradford, ascribes the frightful mortality of fever patients in his district to the conditions in which they Uve.","Im Bericht vom 5. September 1865 erklärt Dr. Bell, einer der Armenärzte von Bradford, die furchtbare Sterblichkeit der Fieberkranken seines Bezirks aus ihren Wohnungsverhältnissen: ""In einem Keller von 1.500 Kubikfuß wohnen 10 Personen ...",3.2890620172320055
510,"‘In one small cellar measuring 1, cubic feet… there are ten persons… Vincent Street, Green Aire Place, and the Leys include 223 houses having 1, inhabitants, 453 beds, and 36 privies… The beds – and in that term I include any roll of dirty old rags, or an armful of shavings – have an average of 3. persons to each, many have 5 and 6 persons to each, and some people, I am told, are absolutely without beds; they sleep in their ordinary clothes, on the bare boards – young men and women, married and unmarried, all together.","Die Vincentstraße, Green Air Place und the Leys bergen 223 Häuser mit 1.450 Einwohnern, 435 Betten und 36 Abtritten ... Die Betten, und darunter verstehe ich jede Rolle von schmutzigen Lumpen oder Handvoll von Hobelspänen, halten jedes im Durchschnitt 3,3 Personen, manches 4 und 6 Personen. Viele schlafen ohne Bett auf nacktem Boden in ihren Kleidern, junge Männer und Weiber, verheiratet und unverheiratet, alles kunterbunt durcheinander.",3.2437094111874356
511,"I need scarcely add that many of these dwellings are dark, damp, dirty, stinking holes, utterly unfit for human habitations; they are the centres from which disease and death are distributed amongst those in better circumstances, who have allowed them thus to fester in our midst.’","Ist es nötig hinzuzufügen, daß diese Hausungen meist dunkle, feuchte, schmutzige Stinkhöhlen sind, ganz und gar unpassend für menschliche Wohnung? Es sind die Zentra, wovon Krankheit und Tod ausgehn und ihre Opfer auch unter den Gutgestellten (of good circumstances) packen, welche diesen Pestbeulen erlaubt haben., in unsrer Mitte zu eitern.""",3.1445057874737703
512,Bristol takes the third place after London in the misery of its dwellings.,Bristol behauptet den dritten Rang nach London im Wohnungselend.,3.4097322004572903
513,"‘Bristol, where the blankest poverty and domestic misery abound in the wealthiest town of Europe.’ (c) The Nomadic Population We now turn to a group of people whose origin is rural, but whose occupation is for the most part industrial.","Hier, in einer der reichsten Städte Europas, größter Überfluß an barster Armut (blank poverty) und häuslichem Elend. c) Das Wandervolk Wir wenden uns nun zu einer Volksschicht, deren Ursprung ländlich, deren Beschäftigung großenteils industriell ist.",3.1596291673823336
514,"They are the light infantry of capital, thrown from one point to another according to its present needs.","Sie bildet die leichte Infanterie des Kapitals, die es je nach seinem Bedürfnis bald auf diesen Punkt wirft, bald auf jenen.",3.1388300078766447
515,When they are not on the march they ‘camp’.,"Wenn nicht auf dem Marsch, ""kampiert"" sie.",2.745074402638994
516,"Nomadic labour is used for various building and draining works, for brick-making, lime-burning, railway-making, etc. A flying column of pestilence, it carries smallpox, typhus, cholera and scarlet fever into the places in whose neighbourhood it pitches its camp. In undertakings which involve a large outlay of capital, such as railways etc., the contractor himself generally provides his army with wooden huts and so on, thus improvising villages which lack all sanitary arrangements, are outside the control of the local authorities, and are very profitable to the gentleman who is doing the contracting, for he exploits his workers in two directions at once – as soldiers of industry, and as tenants.","Die Wanderarbeit wird verbraucht für verschiedne Bau- und Drainierungsoperationen, Backsteinmachen, Kalkbrennen, Eisenbahnbau usw. Eine wandelnde Säule der Pestilenz, importiert sie in die Orte, in deren Nachbarschaft sie ihr Lager aufschlägt, Pocken, Typhus, Cholera, Scharlachfieber usw. In Unternehmen von bedeutender Kapitalauslage, wie Eisenbahnbau usw., liefert meist der Unternehmer selbst seiner Armee Holzhütten oder dergl., improvisierte Dörfer ohne alle Gesundheitsvorkehrung, jenseits der Kontrolle der Lokalbehörden, sehr profitlich für den Herrn Kontraktor, der die Arbeiter doppelt ausbeutet, als Industriesoldaten und als Mieter.",3.2011035288349987
517,"Depending on whether the wooden hut contains one, two or three holes, its inhabitant, the navvy or whatever he may be, has to pay 2, or 4 shillings a week.","Je nachdem die Holzhütte 1, 2 oder 3 Löcher enthält, hat ihr Insasse, Erdarbeiter usw., 2, 3, 4 sh. wöchentlich zu zahlen.",3.343041836487989
518,One example will suffice.,Ein Beispiel genüge.,3.161441495906453
519,"Dr Simon reports that in September 1864 the Chairman of the Nuisances Removal Committee of the parish of Sevenoaks sent the following denunciation to Sir George Grey, the Home Secretary: ‘Small-pox cases were rarely heard of in this parish until about twelve months ago.","Im September 1864, berichtet Dr. Simon, ging dem Minister des Innern, Sir George Grey, folgende Denunziation seitens des Vorstehers des Nuisance Removal Committee <Gesundheitspolizeilichen Komitees> der Pfarrei von Sevenoaks zu: ""Pocken waren dieser Pfarrei ganz unbekannt bis etwa vor 12 Monaten.",3.4793845312889453
520,"Shortly before that time, the works for a railway from Lewisham to Tun-bridge were commenced here, and, in addition to the principal works being in the immediate neighbourhood of this town, here was also established the depot for the whole of the works, so that a large number of persons was of necessity employed here.","Kurz vor dieser Zeit wurden Arbeiten für eine Eisenbahn von Lewisham nach Tunbridge eröffnet. Außerdem, daß die Hauptarbeiten in der unmittelbaren Nachbarschaft dieser Stadt ausgeführt wurden, ward hier auch das Hauptdepot des ganzen Werks errichtet. Große Personenzahl daher hier beschäftigt.",2.681300031129757
521,"As cottage accommodation could not be obtained for them all, huts were built in several places along the line of the works by the contractor, Mr Jay, for their especial occupation.","Da es unmöglich war, sie alle in Cottages unterzubringen, ließ der Kontraktor, Herr Jay, längs der Linie der Bahn auf verschiednen Punkten Hütten aufschlagen zur Behausung der Arbeiter.",3.3070307037479463
522,"These huts possessed no ventilation nor drainage, and, besides, were necessarily over-crowded, because each occupant had to accommodate lodgers, whatever the number in his own family might be, although there were only two rooms to each tenement.","Diese Hütten besaßen weder Ventilation noch Abzugsgerinne und waren außerdem notwendig überfüllt, weil jeder Mieter andre Logierer aufnehmen mußte, wie zahlreich immer seine eigne Familie, und obgleich jede Hütte nur zweizimmrig.",3.389357373866424
523,"The consequences were, according to the medical report we received, that in the night-time these poor people were compelled to endure all the horror of suffocation to avoid the pestiferous smells arising from the filthy, stagnant water, and the privies close under their windows.","Nach dem ärztlichen Bericht, den wir erhielten, war die Folge, daß diese armen Leute zur Nachtzeit alle Qualen der Erstickung zu erdulden hatten, zur Vermeidung der pestilenzialischen Dünste von dem schmutzigen stehenden Wasser und den Abtritten dicht unter den Fenstern.",3.0088887561579614
524,"Complaints were at length made to the Nuisances Removal Committee by a medical gentleman who had occasion to visit these huts, and he spoke of their condition as dwellings in the most severe terms, and he expressed his fears that some very serious consequences might ensue, unless some sanitary measures were adopted.","Endlich wurden unsrem Komitee Klagen eingehändigt von einem Arzte, der Gelegenheit hatte, diese Hütten zu besuchen. Er sprach über den Zustand dieser sog. Wohnlichkeiten in den bittersten Ausdrücken und befürchtete sehr ernsthafte Folgen, falls nicht einige Gesundheitsvorkehrungen getroffen würden. Ungefähr vor einem Jahr verpflichtete sich p.p.",3.203796474001065
525,"About a year ago, Mr Jay promised to appropriate a hut, to which persons in his employ, who were suffering from contagious diseases, might at once be removed.","Jay, ein Haus einzurichten, worin die von ihm beschäftigten Personen, beim Ausbruch ansteckender Krankheiten, sofort entfernt werden sollten.",3.2509256645721853
526,"He repeated that promise on the 23rd July last, but although since the date of the last promise there have been several cases of small-pox in his huts, and two deaths from the same disease, yet he has taken no steps whatever to carry out his promise.","Er wiederholte dies Versprechen Ende letzten Julis, tat aber nie den geringsten Schritt zur Ausführung, obgleich seit diesem Datum verschiedne Fälle von Pocken und infolge davon zwei Todesfälle vorkamen.",2.9036048680266124
527,"On the 9th September instant, Mr Kelson, surgeon, reported to me further cases of small-pox in the same huts, and he described their condition as most disgraceful.",Am 9. September berichtete mir Arzt Kelson weitere Pockenfälle in denselben Hütten und beschrieb ihren Zustand als entsetzlich.,3.444671579818406
528,,"Zu Ihrer (des Ministers) - Information muß ich hinzufügen, daß unsere Pfarrei ein isoliertes Haus besitzt, das sog. Pesthaus, wo die Pfarreigenossen, die von ansteckenden Krankheiten leiden, verpflegt werden.",inf
529,,Dies Haus ist jetzt seit Monaten fortwährend mit Patienten überfüllt.,inf
530,"I should add, for your’ (the Minister’s) ‘information that an isolated house, called the Pest-house, which is set apart for parishioners who might be suffering from infectious diseases, has been continually occupied by such patients for many months past, and is also now occupied; that in one family five children died from small-pox and fever; that from the 1st April to the 1st September this year, a period of five months, there have been no fewer than ten deaths from small-pox in the parish, four of them being in the huts already referred to; that it is impossible to ascertain the exact number of persons who have suffered from that disease although they are known to be many, from the fact of the families keeping it as private as possible.’","In einer Familie starben fünf Kinder an Pocken und Fieber. Vom l. April bis 1. September dieses Jahres kamen nicht weniger als 10 Todesfälle an Pocken vor, 4 in den besagten Hütten, den Pestquellen. Es ist unmöglich, die Zahl der Krankheitsfälle anzugeben, da die heimgesuchten Familien sie so geheim als möglich halten.""",2.9970543753709045
531,Workers in coal and other mines belong to the best paid categories of the British proletariat.,Die Arbeiter in Kohlen- und anderen Bergwerken gehören zu den bestbezahlten Kategorien des britischen Proletariats.,2.6424729415952792
532,The price they pay for their wages was shown on an earlier page.,"Zu welchem Preis sie ihren Lohn erkaufen, wurde an einer früheren Stelle gezeigt.",2.891078045178406
533,Here I shall merely glance at their housing conditions.,Ich werfe hier einen raschen Blick auf ihre Wohnlichkeitsverhältnisse.,3.2799045918528855
534,"As a rule, the exploiter of a mine, whether he is the proprietor or a tenant, builds a number of cottages for his ‘hands’.","In der Regel errichtet der Exploiteur des Bergwerks, ob Eigentümer oder Mieter desselben, eine Anzahl Cottages für seine Hände.",3.0773358870278615
535,"They receive cottages and coal for firing ‘for nothing’ – i.e. these form part of their wages, paid in kind.","Sie erhalten Cottages und Kohlen zur Feuerung ""umsonst"", d.h., letztre bilden einen in natura gelieferten Teil des Lohns.",3.5366993534242175
536,Those who cannot be housed in this way receive in compensation £ per annum.,Die nicht in dieser Art Unterbringbaren erhalten zum Ersatz 4 Pfd.St. per Jahr.,3.0748459850946346
537,"The mining districts rapidly attract a large population, made up of the miners themselves and the artisans, shopkeepers, etc. who group themselves around them.","Die Bergwerksdistrikte ziehn rasch eine große Bevölkerung an, zusammengesetzt aus der Minenbevölkerung selbst und den Handwerkern, Krämern usw., die sich um sie gruppieren.",3.194682211968542
538,"The ground rent is high, as it generally is where population is dense.","Wie überall, wo die Bevölkerung dicht, ist die Bodenrente hier hoch.",2.7289761466897655
539,"The mining employer therefore tries to put up, within the smallest space possible at the entrance to the pit, exactly the number of cottages necessary to pack together his workers and their families.","Der Bergbauunternehmer sucht daher auf möglichst engem Bauplatz am Mund der Gruben so viel Cottages aufzuwerfen, als grade nötig sind, um seine Hände und ihre Familien zusammenzupacken.",3.252967554498673
540,"If new mines are opened in the neighbourhood, or old ones are again set working, the pressure increases.","Werden neue Gruben in der Nähe eröffnet oder alte wieder in Angriff genommen, so wächst das Gedränge.",2.8793586301926917
541,"In the construction of the cottages, only one point of view is of significance, the ‘abstinence’ of the capitalist from all expenditure that is not absolutely unavoidable.","Bei der Konstruktion der Cottages waltet nur ein Gesichtspunkt, ""Entsagung"" des Kapitalisten auf alle nicht absolut unvermeidliche Ausgabe von Barem.",2.984694706727136
542,"‘The lodging which is obtained by the pitmen and other labourers connected with the collieries of Northumberland and Durham,’ says Dr Julian Hunter, ‘is perhaps, on the whole, the worst and the dearest of which any large specimens can be found in England, the similar parishes of Monmouthshire excepted… The extreme badness is in the high number of men found in one room, in the smallness of the ground-plot on which a great number of houses are thrust, the want of water, the absence of privies, and the frequent placing of one house on the top of another, or distribution into flats,… the lessee acts as if the whole colony were encamped, not resident.’","Die Wohnungen der Gruben- und andrer Arbeiter, die mit den Bergwerken von Northumberland und Durham verknüpft sind, sagt Dr. Julian Hunter, ""sind vielleicht im Durchschnitt das Schlechteste und Teuerste, was England auf großer Stufenleiter in dieser Art bietet, mit Ausnahme jedoch ähnlicher Distrikte in Monmouthshire. Die extreme Schlechtigkeit liegt in der hohen Menschenzahl, die ein Zimmer füllt, in der Enge des Bauplatzes, worauf eine große Häusermasse geworfen wird, im Wassermangel und Abwesenheit von Abtritten, in der häufig angewandten Methode, ein Haus über ein andres zu Stellen oder sie in flats"" (so daß die verschiednen Cottages vertikal übereinander liegende Stockwerke bilden) ""zu verteilen... Der Unternehmer behandelt die ganze Kolonie, als ob sie nur kampiere, nicht residiere.""",2.8833058960612856
543,"‘In pursuance of my instructions,’ says Dr Stevens, ‘I visited most of the large colliery villages in the Durham Union… With very few exceptions, the general statement that no means are taken to secure the health of the inhabitants would be true of all of them… All colliers are bound’ (’bound’, an expression which, like ‘bondage’, dates from the age of serfdom) ‘to the colliery lessee or owner for twelve months… If the colliers express discontent, or in any way annoy the “viewer”, a mark of memorandum is made against their names, and, at the annual “binding”, such men are turned off… It appears to me that no part of the “truck system” could be worse than what obtains in these densely-populated districts.","In Ausführung meiner Instruktionen, sagt Dr. Stevens, ""habe ich die meisten großen Bergwerksdörfer der Durham Union besucht ... Mit sehr wenigen Ausnahmen gilt von allen, daß jedes Mittel zur Sicherung der Gesundheit der Einwohner vernachlässigt wird ... Alle Grubenarbeiter sind an den Pächter (lessee) oder Eigentümer des Bergwerks für 12 Monate gebunden"" (""bound"", Ausdruck, der wie bondage <Hörigkeit> aus der Zeit der Leibeigenschaft stammt). ""Wenn sie ihrer Unzufriedenheit Luft machen oder in irgendeiner Art den Aufseher (viewer) belästigen, so setzt er eine Marke oder ein Memorandum hinter ihre Namen im Aufsichtsbuch und entläßt sie bei der jährlichen Neubindung ... Es scheint mir, daß kein Teil des Trucksystems schlechter sein kann als das in diesen dichtbevölkerten Distrikten herrschende. Der Arbeiter ist gezwungen, als Teil seines Lohns ein mit pestilenzialischen Einflüssen umgebnes Haus zu empfangen.",2.810333284834593
544,"The collier is bound to take as part of his hiring a house surrounded with pestiferous influences; he cannot help himself, and it appears doubtful whether anyone else can help him except his proprietor (he is, to all intents and purposes, a serf), and his proprietor first consults his balance-sheet, and the result is tolerably certain.","Er kann sich nicht selbst helfen. Er ist in jeder Rücksicht ein Leibeigner (he is to all intents and purposes a serf). Es scheint fraglich, oh jemand sonst ihm helfen kann außer seinem Eigentümer, und dieser Eigentümer zieht vor allem sein Bilanzkonto zu Rat, und das Resultat ist ziemlich unfehlbar. Der Arbeiter erhält von dem Eigentümer auch seine Zufuhr an Wasser.",3.031630081320823
545,"The collier is also often supplied with water by the proprietor, which, whether it be good or bad, he has to pay for, or rather he suffers a deduction for from his wages.’","Es sei gut oder schlecht, es werde geliefert oder zurückgehalten. er muß dafür zahlen oder sich vielmehr einen Lohnabzug gefallen lassen.""",2.934376374690922
546,"In a conflict with ‘public opinion’, or even with the Officers of Health, capital has no difficulty in ‘justifying’ the partly dangerous and partly degrading conditions to which it confines the working and domestic life of the mine-worker, on the ground that they are necessary for profitable exploitation.","Im Konflikt mit der ""öffentlichen Meinung"" oder auch der Gesundheitspolizei geniert sich das Kapital durchaus nicht, die teils gefährlichen, teils entwürdigenden Bedingungen, worin es Funktion und Häuslichkeit des Arbeiters bannt, damit zu ""rechtfertigen"", das sei nötig, um ihn profitlicher auszubeuten.",2.7386888456927325
547,"It is the same thing when capital ‘abstains’ from protective measures against dangerous machinery in the factory, from safety appliances and means of ventilation in the mines, and so on.","So, wenn es entsagt auf Vorrichtungen zum Schutz gegen gefährliche Maschinerie in der Fabrik, auf Ventilations- und Sicherheitsmittel in den Minen usw. So hier mit der Behausung der Minenarbeiter.",2.8497492019881174
548,"It is the same here with the housing of the miners. Dr Simon, medical officer of the Privy Council, says in his official report: ‘In apology for the wretched household accommodation… it is alleged that mines are commonly worked on lease; that the duration of the lessee’s interest (which in collieries is commonly for twenty-one years), is not so long that he should deem it worth his while to create good accommodation for his labourers, and for the tradespeople and others whom the work attracts; that even if he were disposed to act liberally in the matter, this disposition would commonly be defeated by his landlord’s tendency to fix on him, as ground-rent, an exorbitant additional charge for the privilege of having on the surface of the ground the decent and comfortable village which the labourers of the subterranean property ought to inhabit, and that prohibitory price (if not actual prohibition) equally excludes others who might desire to build.","Als Entschuldigung, sagt Dr. Simon, der ärztliche Beamte des Privy Council, in seinem offiziellen Bericht, ""als Entschuldigung für die nichtswürdige Hauseinrichtung wird angeführt, daß Minen gewöhnlich pachtweise exploitiert werden, daß die Dauer des Pachtkontrakts (in Kohlenwerken meist 21 Jahre) zu kurz ist, damit der Minenpächter es der Mühe wert halte, gute Hauseinrichtung für das Arbeitsvolk und die Gewerbsleute usw. zu liefern, welche die Unternehmung anzieht; hätte er selbst die Absicht, nach dieser Seite hin liberal zu verfahren, so würde sie vereitelt werden durch den Grundeigentümer.",3.072575548848225
549,It would be foreign to the purpose of this report to enter upon any discussion of the merits of the above apology.,"Der habe nämlich die Tendenz, sofort exorbitante Zuschußrente zu verlangen für das Privilegium, ein anständiges und komfortables Dorf auf der Grundoberfläche zu errichten zur Behausung der Bearbeiter des unterirdischen Eigentums.",3.1526830950601945
550,"Nor here is it even needful to consider where it would be that, if decent accommodation were provided, the cost… would eventually fall – whether on landlord, or lessee, or labourer, or public.","Dieser prohibitorische Preis, wenn nicht direkte Prohibition, schrecke ebenfalls andre ab, welche sonst wohl bauen möchten ...",3.2410517164805026
551,"But in presence of such shameful facts as are vouched for in the annexed reports’ (those of Dr Hunter, Dr Stevens, etc.) ‘a remedy may well be claimed… Claims of landlordship are being so used as to do great public wrong.","Ich will den Wert dieser Entschuldigung nicht weiter untersuchen, auch nicht, auf wen denn in letzter Hand die zuschüssige Ausgabe für anständige Wohnlichkeit fallen würde, auf den Grundherrn, den Minenpächter, die Arbeiter oder das Publikum ...",3.4037080340394934
552,,"Aber angesichts solcher schmählichen Tatsachen, wie die beigefügten Berichte"" (des Dr. Hunter, Stevens usw.) ""sie enthüllen, muß ein Heilmittel angewandt werden ...",inf
553,,"Grundeigentumstitel werden so benutzt, um ein großes öffentliches Unrecht zu begehn.",inf
554,"The landlord in his capacity of mine-owner invites an industrial colony to labour on his estate, and then in his capacity of surface-owner makes it impossible that the labourers whom he collects, should find proper lodging where they must live.","In seiner Eigenschaft als Mineneigner ladet der Grundherr eine industrielle Kolonie zur Arbeit auf seiner Domäne ein und macht dann, in seiner Eigenschaft als Eigentümer der Grundoberfläche, den von ihm versammelten Arbeitern unmöglich, die zu ihrem Leben unentbehrliche, geeignete Wohnlichkeit zu finden.",2.998923421438009
555,"The lessee’ (the capitalist exploiter of the mine) ‘meanwhile has no pecuniary motive for resisting that division of the bargain; well knowing that if its latter conditions be exorbitant, the consequences fall not on him, that his labourers on whom they fall have not education enough to know the value of their sanitary rights, that neither obscenest lodging nor foulest drinking water will be appreciable inducements towards a “ strike”.’ (d) Effect of Crises on the Best Paid Section of the Working Class Before I turn to the agricultural labourers, I shall just show, by one example, how crises have an impact even on the best paid section of the working class, on its aristocracy.","Der Minenpächter"" (der kapitalistische Exploiteur) ""hat kein Geldinteresse, dieser Teilung des Handels zu widerstehn, da er wohl weiß, daß, wenn die letztern Ansprüche exorbitant sind, die Folgen nicht auf ihn fallen, daß die Arbeiter, auf die sie fallen, zu unerzogen sind, um ihre Gesundheitsrechte zu kennen, und daß weder obzönste Wohnlichkeit noch faulstes Trinkwasser jemals Anlaß zu einem Strike liefern."" d) Wirkung der Krisen auf den bestbezahlten Teil der Arbeiterklasse Bevor ich zu den eigentlichen Agrikulturarbeitern übergehe, soll an einem Beispiel noch gezeigt werden, wie die Krisen selbst auf den bestbezahlten Teil der Arbeiterklasse, auf ihre Aristokratie, wirken.",2.8352425639539494
556,It will be remembered that the year 1857 brought one of the gigantic crises with which the industrial cycle always terminates.,"Man erinnert sich: das Jahr 1857 brachte eine der großen Krisen, womit der industrielle Zyklus jedesmal abschließt.",2.8399157547344647
557,"The next crisis was due in 1866. Already discounted in the actual factory districts by the cotton famine, which threw much capital from its accustomed sphere into the great centres of the money-market, the crisis assumed this time a predominantly financial character.",,inf
558,"Its outbreak in May 1866 was signalled by the failure of a giant London bank, immediately followed by the collapse of countless swindling companies.","Der nächste Termin wurde 1866 fällig. Bereits diskontiert in den eigentlichen Fabrikdistrikten durch die Baumwollnot, welche viel Kapital aus der gewohnten Anlagesphäre zu den großen Zentralsitzen des Geldmarkts jagte, nahm die Krise diesmal einen vorwiegend finanziellen Charakter an.",3.4379260041097415
559,,"Ihr Ausbruch im Mai 1866 wurde signalisiert durch den Fall einer Londoner Riesenbank, dem der Zusammensturz zahlloser finanzieller Schwindelgesellschaften auf dem Fuß nachfolgte.",inf
560,One of the great London branches of industry involved in the catastrophe was iron shipbuilding.,"Einer der großen Londoner Geschäftszweige, welche die Katastrophe traf, war der eiserne Schiffsbau.",3.021346295818615
561,"The magnates of this trade had not only overproduced beyond all measure during the swindling period,* but they had, apart from this, entered into enormous contracts on the speculative assumption that credit would be forthcoming to an equivalent extent.","Die Magnaten dieses Geschäfts hatten während der Schwindelzeit nicht nur maßlos überproduziert, sondern zudem enorme Lieferungskontrakte übernommen, auf die Spekulation hin, daß die Kreditquelle gleich reichlich fortfließen werde.",3.057971311329035
562,"A terrible reaction then set in, which continues even now (at the end of March 1867) both in shipbuilding and in other London industries.","Jetzt trat eine furchtbare Reaktion ein, die auch in andren Londoner Industrien bis zur Stunde, Ende März 1867, fortdauert.",2.7258894883418634
563,"Let me characterize the situation of the workers by quoting the following from a very detailed report by a correspondent of the Morning Star, who visited the chief centres of distress at the end of 1866 and the beginning of 1867: ‘In the East End districts of Poplar, Millwall, Greenwich, Deptford, Limehouse and Canning Town, at least 15, workmen and their families were in a state of utter destitution, and 3, skilled mechanics were breaking stones in the workhouse yard (after distress of over half a year’s duration)… I had great difficulty in reaching the workhouse door, for a hungry crowd besieged it… They were waiting for their tickets, but the time had not yet arrived for the distribution.","Zur Charakteristik der Lage der Arbeiter folgende Stelle aus dem ausführlichen Bericht eines Korrespondenten des ""Morning Star"", welcher Anfang 1867 die Hauptsitze des Leidens besuchte. ""Im Osten von London, den Distrikten von Poplar, Millwall, Greenwich, Deptford, Limehouse und Canning Town befinden sich mindestens 15.000 Arbeiter samt Familien in einem Zustand äußerster Not, darunter über 3.000 geschickte Mechaniker. Ihre Reservefonds sind erschöpft infolge sechs- oder achtmonatiger Arbeitslosigkeit ... Ich hatte große Mühe, zum Tor des Workhouse (von Poplar) vorzudringen, denn es war belagert von einem ausgehungerten Haufen. Er wartete auf Brotbilletts, aber die Zeit zur Verteilung war noch nicht gekommen.",3.1510468117273938
564,"The yard was a great square place with an open shed running all round it, and several large heaps of snow covered the paving-stones in the middle.","Der Hof bildete ein großes Quadrat mit einem Pultdach, das rings um seine Mauern läuft. Dichte Schneehaufen bedeckten die Pflastersteine in der Mitte des Hofes.",3.637914515328056
565,"In the middle, also, were little wicker-fenced spaces, like sheep pens, where in finer weather the men worked; but on the day of my visit the pens were so snowed up that nobody could sit in them.","Hier waren gewisse kleine Plätze mit Weidengeflecht abgeschlossen, gleich Schafhürden, worin die Männer bei besserem Wetter arbeiten. Am Tage meines Besuchs waren die Hürden so verschneit, daß niemand in ihnen sitzen konnte.",3.188110803021098
566,"Men were busy, however, in the open shed breaking paving-stones into macadam.",Die Männer waren jedoch unter dem Schutz der Dachvorsprünge mit Makadamisierung von Pflastersteinen beschäftigt.,2.8524294435768973
567,"Each man had a big paving-stone for a seat, and he chipped away at the rime-covered granite until he had broken up, and think! five bushels of it, and then he had done his day’s work, and got his day’s pay – threepence and an allowance of food.","Jeder hatte einen dicken Pflasterstein zum Sitz und klopfte mit schwerem Hammer auf den frostbedeckten Granit, bis er 5 Bushel davon abgehauen hatte. Dann war sein Tagewerk verrichtet und erhielt er 3 d."" (2 Silbergroschen, 6 Pfennige) ""und ein Billett für Brot.",3.037815992228591
568,"In another part of the yard was a rickety little wooden house, and when we opened the door of it, we found it filled with men who were huddled together shoulder to shoulder, for the warmth of one another’s bodies and breath.","In einem andren Teil des Hofes stand ein rachitisches kleines Holzhaus. Beim Öffnen der Tür fanden wir es gefüllt mit Männern, Schulter an Schulter gedrängt, um einander warm zu halten.",3.2068505492724926
569,They were picking oakum and disputing the while as to which could work the longest on a given quantity of food – for endurance was the point of honour.,"Sie zupften Schiffstau und stritten miteinander, wer von ihnen mit einem Minimum von Nahrung am längsten arbeiten könne, denn Ausdauer war der point d'honneur.",3.2137425174751915
570,"Seven thousand… in this one workhouse… were recipients of relief… many hundreds of them… it appeared, were, six or eight months ago, earning the highest wages paid to artisans… Their number would be more than doubled by the count of those who, having exhausted all their savings, still refuse to apply to the parish, because they have a little left to pawn.","In diesem einen Workhouse allein erhielten 7.000 Unterstützung, darunter viele Hunderte, die 6 oder 8 Monate zuvor die höchsten Löhne geschickter Arbeit in diesem Land verdienten. Ihre Zahl wäre doppelt so groß gewesen, gäbe es nicht so viele, welche nach Erschöpfung ihrer ganzen Geldreserve dennoch vor Zuflucht zur Pfarrei zurückbeben, solange sie noch irgend etwas zu versetzen haben ...",2.9031952790570865
571,"Leaving the workhouse, I took a walk through the streets, mostly of little one-storey houses, that abound in the neighbourhood of Poplar.","Das Workhouse verlassend, machte ich einen Gang durch die Straßen von meist einstöckigen Häusern, die in Poplar so zahlreich.",2.8546589102263824
572,My guide was a member of the Committee of the Unemployed… My first call was on an ironworker who had been seven and twenty weeks out of employment.,"Mein Führer war Mitglied des Komitees für die Arbeitslosen. Das erste Haus, worin wir eintraten, war das eines Eisenarbeiters, seit 27 Wochen außer Beschäftigung.",2.9047210283809224
573,I found the man with his family sitting in a little back room.,Ich fand den Mann mit seiner ganzen Familie in einem Hinterzimmer sitzend.,2.961595900093118
